Post,Sentence,GPT Category,Claude Category,Matches GPT,Confidence,Note
2,Fantasy.,Statement / Fragment,Q Claims,YES,low,fragment read as an assertion in context
28,Well done.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
89,Thank you Anon.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
109,Amen brother.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
111,Goodnight BO.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
200,Happy hunting.,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
216,Happy hunting.,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
238,Happy hunting.,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
239,Happy hunting.,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
265,Bye Bye Johnny.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
277,Goodbye AL.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
301,Sweet dreams.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
379,Roger that.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
391,Goodbye C.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
396,SWEET DREAMS.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
457,MERRY CHRISTMAS!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
458,"Thank you all for your trust, faith, and patriotism.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
464,Happy Hunting.,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
517,Thank you Patriots.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
522,HAPPY HUNTING.,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
525,Goodbye @Jack.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
529,HELLO GEORGE.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
565,Thank you for visiting the WH.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
584,Thank you for visiting the WH.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
598,Goodbye @Jack.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
605,Thank you F&F!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
630,Happy Hunting Anonymous.,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
667,WELCOME TO THE GLOBAL WAR.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
681,Thank you for visiting the WH.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
687,Goodnight.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
710,Goodbye.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — no dedicated category; themes is nearest
711,Thank you Dopey.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
760,Thank you for showing the world how Clowns pass the narrative to journalists @ 4am.,Acknowledgment / Valediction,Q Claims,NO,high,acknowledgment wrapping an accusation
786,HAPPY SUNDAY.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
845,Welcome to China.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
869,Happy Hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
888,Thank you Kim.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
917,Thank you.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
959,Thank you @ Snowden.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1014,Good luck.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1017,Happy Hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
1022,Adios.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1066,Thank you.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1116,Thank you Xi.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1132,Thank you Alan.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1132,Welcome aboard.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
1137,Welcome aboard.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
1152,"Thank you, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1154,"Thank you, Patriot.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1154,Thank you ALL!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1171,Good luck & God Bless!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1221,Hello Maggie.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1241,Welcome Mr.,Acknowledgment / Valediction,Q Themes,YES,low,recurring movement refrain; split-sentence fragment (period after abbreviation broke the sentence)
1247,Happy hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
1254,Sweet Dreams.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1273,Welcome to the WH.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
1325,Happy hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
1336,Welcome to the Deep State.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
1346,Happy Hunting!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
1353,"Well done, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1360,Welcome back Huma.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
1487,Thank you Autists/Anons.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1488,Roger that.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1497,Thank you USSS.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1518,"Well done, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1526,Thank you & God bless.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1546,Happy Hunting D!,Acknowledgment / Valediction,Q Themes,YES,high,recurring sign-off
1569,Thank you for your service.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1663,Thank you USSS.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1665,"Thank you, Ben.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1741,"Welcome to the no borders, pro pedo, destroy ICE, socialist movement - Antifa (arm of Democratic Party).",Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
1779,Congrats!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
1796,Welcome to the mainstream.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
1849,Welcome to THE SWAMP.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
1870,WELCOME TO THE AWAKENING.,Acknowledgment / Valediction,Q Themes,YES,high,recurring movement refrain
1911,Thank you for your service.,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
1995,Congratulations!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2109,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2181,HAPPY SUNDAY!,Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment/valediction — movement/community language
2196,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2196,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2210,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2233,"Thank you, Anon.",Acknowledgment / Valediction,Q Themes,YES,high,acknowledgment — movement/community language
