8	2109 2196 2196 2210 2252	Goodbye, Mr.
8	3049 3243 3712 3768 4447	Welcome to the [D] party con.
7	869 1017 1346 2597 2598	Happy Hunting!
7	1152 1154 2570 2761 2808	Thank you, Patriot.
6	3819 4181 4219 4307 4317	Welcome to the [D] party.
5	2543 2961 3458 3851 4352	Thank you for playing.
4	200 216 238 239	Happy hunting.
4	2233 2940 3141 3781	Thank you, Anon.
3	565 584 681	Thank you for visiting the WH.
3	1247 1325 4160	Happy hunting!
3	1353 1518 3208	Well done, Anon.
3	1569 1911 3056	Thank you for your service.
3	2451 2451 2452	Thank you for your service to our Country, Mr.
2	301 3382	Sweet dreams.
2	379 1488	Roger that.
2	525 598	Goodbye @Jack.
2	917 1066	Thank you.
2	1132 1137	Welcome aboard.
2	1497 1663	Thank you USSS.
2	2502 2695	Thank you, Mr.
2	2695 4383	Thank you, Anons.
2	2775 3259	Well done, Patriot.
2	3413 3819	Well done, Anons.
2	4136 4620	Welcome to the Revolution.
2	4509 4881	Welcome to the Digital Battlefield.
1	28	Well done.
1	89	Thank you Anon.
1	109	Amen brother.
1	111	Goodnight BO.
1	265	Bye Bye Johnny.
1	277	Goodbye AL.
1	391	Goodbye C.
1	396	SWEET DREAMS.
1	457	MERRY CHRISTMAS!
1	458	Thank you all for your trust, faith, and patriotism.
1	464	Happy Hunting.
1	517	Thank you Patriots.
1	522	HAPPY HUNTING.
1	529	HELLO GEORGE.
1	605	Thank you F&F!
1	630	Happy Hunting Anonymous.
1	667	WELCOME TO THE GLOBAL WAR.
1	687	Goodnight.
1	710	Goodbye.
1	711	Thank you Dopey.
1	760	Thank you for showing the world how Clowns pass the narrative to journalists @ 4am.
1	786	HAPPY SUNDAY.
1	845	Welcome to China.
1	888	Thank you Kim.
1	959	Thank you @ Snowden.
1	1014	Good luck.
1	1022	Adios.
1	1116	Thank you Xi.
1	1132	Thank you Alan.
1	1154	Thank you ALL!
1	1171	Good luck & God Bless!
1	1221	Hello Maggie.
1	1241	Welcome Mr.
1	1254	Sweet Dreams.
1	1273	Welcome to the WH.
1	1336	Welcome to the Deep State.
1	1360	Welcome back Huma.
1	1487	Thank you Autists/Anons.
1	1526	Thank you & God bless.
1	1546	Happy Hunting D!
1	1665	Thank you, Ben.
1	1741	Welcome to the no borders, pro pedo, destroy ICE, socialist movement - Antifa (arm of Democratic Party).
1	1779	Congrats!
1	1796	Welcome to the mainstream.
1	1849	Welcome to THE SWAMP.
1	1870	WELCOME TO THE AWAKENING.
1	1995	Congratulations!
1	2181	HAPPY SUNDAY!
1	2241	Good catch, Patriot.
1	2246	Nice catch, Anon.
1	2278	Welcome aboard, Judge K.
1	2298	Welcome to the POLICE STATE.
1	2313	Amen, brother.
1	2353	WELCOME TO THE DEMOCRAT PARTY.
1	2356	CONGRATULATIONS, JUSTICE K!
1	2364	Goodbye, Valerie Jarrett.
1	2432	Amen, Patriot.
1	2444	Thank you, Patriots!
1	2480	Thank you and God Bless, Veterans!
1	2491	Congratulations, Anons!
1	2525	"Goodbye" Mr.
1	2593	Happy Holidays!
1	2650	Welcome to the CON.
1	2657	Hello, [AS].
1	2855	Welcome to the Democrat Party.
1	2864	Happy Friday!
1	2932	Roger that, Anon.
1	2978	Good catch, Patriot!
1	2981	Welcome to the [D] party CON.
1	3016	WELCOME TO THE [D] PARTY.
1	3024	WELCOME HOME, @SNOWDEN.
1	3071	WELCOME TO THE [D] PARTY!
1	3109	Thanks for playing, @Jack.
1	3182	Thank you, Anons, for bringing this to our attention.
1	3221	Good luck, Patriot.
1	3399	Welcome to Epstein Island.
1	3405	Welcome to the Real World.
1	3443	Thank you, BO.
1	3445	Thank you for your continued service, BO.
1	3536	Thank you for confirming�.
1	3682	Welcome to the Party.
1	3707	Merry Christmas, Anons/Patriots.
1	3730	Thank you!
1	3786	Congratulations, UK Patriots!
1	3814	Thanks, DOJ.
1	3876	Thank you, Baker(s)!
1	3909	Welcome to the [D][People�s Republic of China] party.
1	4021	Hello, Feinstein.
1	4116	Welcome to the REVOLUTION.
1	4310	Welcome to the Shadow Presidency of Barack H.
1	4311	Welcome to the shadow presidency of Barack Hussein Obama.
1	4383	Good catch!
1	4471	Welcome to the REAL [D] PARTY.
1	4524	Good catch.
1	4571	Thank you, Sam.
1	4639	Welcome to CA.
1	4643	Hello Karli.
1	4643	Thank you and God bless.
1	4654	Well done, Midnight Rider!
1	4739	Amen.
1	4845	Roger that, Madam Secretary.
1	4846	"Thank you to our Justice Department and our federal law enforcement agencies for protecting our Governors and all the rest of our people without regard to politics."
1	4880	WELCOME TO THE DIGITAL BATTLEFIELD.
