sentenceId,postNum,kind,nested,spanA,spanB,sentenceText,context
p1010-s008,1010,claims,true,GUN CONTROL.,CONTROL.,GUN CONTROL.,    PAWNS. ⏎     MASS EXT EVENTS DESIGNED TO DECREASE THREAT LEVEL OF POPULATION. ⏎ >>> GUN CONTROL. ⏎     WARS [FAKE][TOP HAPPY][BACKEND DEAL]. ⏎     ELECTION RIGGING.
p0120-s021,120,questions,true,Why is the NSA limited re: ability to capture and unmask US persons?,US persons?,Why is the NSA limited re: ability to capture and unmask US persons?,    What does the NSA/MI have (at least what you know of) that allows for data collection? ⏎     Think Snowden. ⏎ >>> Why is the NSA limited re: ability to capture and unmask US persons? ⏎     Who sets the narrative? ⏎     US persons?
p1316-s014,1316,claims,true,3 official behind Deputy AG Rosenstein - FIRED/FORCE,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput","Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCE","    Mary McCord, Acting Assistant Attorney General – Acting Head of DOJ’s National Security Division - FIRED/FORCE ⏎     Bruce Ohr, Associate Deputy Attorney General – Demoted 2x - cooperating witness [power removed] ⏎ >>> Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCE ⏎     Cross against House/Senate resignations/final term announcements + CEO departures. ⏎     CONSPIRACY?"
p1553-s000,1553,claims,true,Attorney General Jeff Sessions has also said U.S. Attorney John Huber ,“Attorney General Jeff Sessions has also said U.S. Attorney John Huber,"“Attorney General Jeff Sessions has also said U.S. Attorney John Huber is investigating claims of FBI and DOJ misconduct related to these actions, noting that Huber would be “conducting his work from outside the Washington D.C. area and “in cooperation” with Horowitz.”",">>> “Attorney General Jeff Sessions has also said U.S. Attorney John Huber is investigating claims of FBI and DOJ misconduct related to these actions, noting that Huber would be “conducting his work from outside the Washington D.C. area and “in cooperation” with Horowitz.” ⏎     http://www.foxnews.com/politics/2018/06/15/ig-2-0-could-be-even-worse-for-fbi-as-feds-brace-for-trump-spying-probe.html ⏎     “This is not the end of the process. United States Attorney John Huber continues his work in cooperation with the Inspector General to review certain prosecutorial and investigative determinations made by the Department in 2016 and 2017,” Sessions said. He has reviewed this report and, based on its findings and his own investigation, will provide recommendations as to whether any matter not currently under investigation should be opened, whether any matters currently under investigation require further resources, or whether any matters merit the appointment of Special Counsel.”"
p1745-s008,1745,claims,true,'DIRTY' 'FAKE' DOSSIER WAS USED AS PRIMARY SOURCE TO SECURE HIGHEST LE,DECLAS BY POTUS KEY PARTS THAT FACTUALLY DEMONSTRATE THE 'DIRTY' 'FAKE,DECLAS BY POTUS KEY PARTS THAT FACTUALLY DEMONSTRATE THE 'DIRTY' 'FAKE' DOSSIER WAS USED AS PRIMARY SOURCE TO SECURE HIGHEST LEVEL OF INTEL SPYING ON PRIMARY REPUBLICAN OPPONENT (+POST ELECTION (INTEL ASSETS FOR/DOM SPYING ON THE PRESIDENT OF THE UNITED STATES)) FOR THE OFFICE OF THE PRESIDENCY OF THE UNITED STATES OF AMERICA.,    FISA BRINGS DOWN THE HOUSE. ⏎     FOIA DOES NOT INCLUDE FISA. ⏎ >>> DECLAS BY POTUS KEY PARTS THAT FACTUALLY DEMONSTRATE THE 'DIRTY' 'FAKE' DOSSIER WAS USED AS PRIMARY SOURCE TO SECURE HIGHEST LEVEL OF INTEL SPYING ON PRIMARY REPUBLICAN OPPONENT (+POST ELECTION (INTEL ASSETS FOR/DOM SPYING ON THE PRESIDENT OF THE UNITED STATES)) FOR THE OFFICE OF THE PRESIDENCY OF THE UNITED STATES OF AMERICA. ⏎     LOGICAL THINKING. ⏎     PUBLIC AWARENESS - FISA/SPYING
p1824-s004,1824,claims,false,Market) is ESSENTIAL for every major country in the world.,ACCESS to the AMERICAN CONSUMER (U.S. Market) is ESSENTIAL for every m,ACCESS to the AMERICAN CONSUMER (U.S. Market) is ESSENTIAL for every major country in the world.,    Why was the American taxpayer essentially subsidizing the the rest of the world? ⏎     The AMERICAN TAXPAYER has no equal anywhere in the world. ⏎ >>> ACCESS to the AMERICAN CONSUMER (U.S. Market) is ESSENTIAL for every major country in the world. ⏎     AMERICA WAS SYSTEMATICALLY BEING WEAKENED. ⏎     OUR MILITARY WAS SYSTEMATICALLY BEING WEAKENED.
p1929-s013,1929,questions,true,Who is [1 of 4] FIREWALLS?,FIREWALLS?,Who is [1 of 4] FIREWALLS?,    Who signed pg 392? ⏎     https://vault.fbi.gov/d1-release/d1-release/view ⏎ >>> Who is [1 of 4] FIREWALLS? ⏎     Who signed? ⏎     FIREWALLS?
p1991-s002,1991,claims,true,"""Ms. Ugoretz oversaw intelligence products and briefings for the FBI D",Ugoretz oversaw intelligence products and briefings for the FBI Direct,"""Ms. Ugoretz oversaw intelligence products and briefings for the FBI Director and the Attorney General, as well as FBI analysts’ contributions to the President’s Daily Brief.""","    Shall We Play A Game? ⏎     https://www.dni.gov/index.php/ctiic-who-we-are/leadership ⏎ >>> ""Ms. Ugoretz oversaw intelligence products and briefings for the FBI Director and the Attorney General, as well as FBI analysts’ contributions to the President’s Daily Brief."" ⏎     Who discovered the Chinese link to HRC's server(s)? ⏎     Who reported the discovery?"
p2070-s024,2070,claims,true,3 official behind Deputy AG Rosenstein - FIRED/FORCED,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput","Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCED","    Mary McCord, Acting Assistant Attorney General – Acting Head of DOJ’s National Security Division - FIRED/FORCED ⏎     Bruce Ohr, Associate Deputy Attorney General – Demoted 2x - cooperating witness [power removed] - TERMINATION IMMINENT ⏎ >>> Rachel Brand, Associate Attorney General – No. 3 official behind Deputy AG Rosenstein - FIRED/FORCED ⏎     Nothing to See Here. ⏎     WHO ORDERED?"
p2072-s014,2072,questions,true,HUBER start?,Coincidence vs. HUBER start?,Coincidence vs. HUBER start?,"    But… POTUS is attacking SESSIONS via TWITTER so therefore he is not working on behalf of the people’s interest (or POTUS’) [D’s/LEFT LOVE/TRUST SESSIONS!] ⏎     But… interestingly, if nothing is being done behind the scenes, why are so many FBI & DOJ senior officials being FIRED and/or REMOVED from their respective positions of power? Who is AG? Who must sign off on each removal? DOJ in charge of FBI? ⏎ >>> But… interestingly, if nothing is being done behind the scenes, why are there 50,000+ sealed indictments across the US [what % = USA v. X?]? Coincidence vs. HUBER start? ⏎     But… interestingly, if nothing is being done behind the scenes, why are many ‘powerful’ CEOs, members of Congress/ Senate, resigning? Coincidence? Example: Pre_POTUS did the SPEAKER OF THE HOUSE indicate wanting to leave politics? ⏎     But… interestingly, if nothing is being done behind the scenes, why are human trafficking arrests SURGING?"
