recordId,postNum,storedPhrase,sentenceText,directivePhrase,authorshipState,sourceType,priorRuling,v3Ruling,proposedRuling,themes,reason
"102#0","102","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1025#0","1025","God bless, Q","God bless, Q","God bless,","Q_AUTHORED_CURRENT_POST","Q_BODY","NEEDS_CONTEXT","","REMOVE_BLESSING_OR_VALEDICTION","","blessing/valediction, Q signature cut into its own span (rule 7)"
"103#1","103","Godspeed.","Godspeed.","Godspeed.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"104#0","104","God bless the United States of America.","God bless the United States of America.","God bless the United States of America.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"106#0","106","God bless.","God bless.","God bless.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1085#1","1085","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1093#1","1093","God bless you all.","God bless you all.","God bless you all.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1106#1","1106","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1183#3","1183","Stay STRONG.","Stay STRONG.","Stay STRONG.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"1252#1","1252","Learn the TRUTH.","It’s time to learn the TRUTH.","learn the TRUTH.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","NEEDS_FRAGMENT_REVIEW","","OWNER RULING R5: stored phrase is clipped from the middle of a longer sentence; part-of-speech of the leading word must be read from the complete sentence by an editor."
"1266#2","1266","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1291#3","1291","Godspeed, Patriot.","Godspeed, Patriot.","Godspeed, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1291#4","1291","Step back.","Step back.","Step back.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"1294#0","1294","Godspeed, Patriot(s).","Godspeed, Patriot(s).","Godspeed, Patriot(s).","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1294#2","1294","Stay united.","Stay united.","Stay united.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"1295#2","1295","God bless you all.","God bless you all.","God bless you all.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1295#3","1295","The only profit we should all be striving for is TRUE FREEDOM.","The only profit we should all be striving for is TRUE FREEDOM.","The only profit we should all be striving for is TRUE FREEDOM.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"13#1","13","God bless, Patriots.","God bless, Patriots.","God bless, Patriots.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1349#0","1349","Godspeed, Patriot.","Godspeed, Patriot.","Godspeed, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1350#0","1350","God bless our brave fighting men & women.","God bless our brave fighting men & women.","God bless our brave fighting men & women.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1358#5","1358","God bless you all.","God bless you all.","God bless you all.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1358#6","1358","Trust must be earned.","Trust must be earned.","Trust must be earned.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"1358#7","1358","Trust is not blind, nor is truth.","Trust is not blind, nor is truth.","Trust is not blind, nor is truth.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","","KEEP_Q_DIRECTIVE","","canonical post body, no embedded-source evidence"
"1359#0","1359","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.""","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.”","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.”","QUOTED_OR_EMBEDDED","QUOTED_THIRD_PARTY","KEEP_Q_DIRECTIVE","","REMOVE_QUOTED_OR_THIRD_PARTY","","self-contained quotation: one line opening and closing on quotation marks, paragraph length"
"1376#0","1376","Godspeed, Patriot.","Godspeed, Patriot.","Godspeed, Patriot.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1401#0","1401","God Bless the United States of America.","God Bless the United States of America.","God Bless the United States of America.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"141#1","141","God bless you all.","God bless you all.","God bless you all.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_BLESSING_OR_VALEDICTION","","REMOVE_BLESSING_OR_VALEDICTION","","blessing or valediction, not a command"
"1432#0","1432","Put on the full armor of God so that you can take your stand against the devil's schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"1432#1","1432","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
"1432#2","1432","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","REMOVE_QUOTED_SCRIPTURE","","REMOVE_QUOTED_SCRIPTURE","","reproduced scripture"
