actionId,kind,postNum,sentenceId,sourceDisposition,sentenceStart,sentenceEnd,sentenceText,populationMembership,oldOccurrenceKeys,oldCategories,proposedPrimaryCategory,proposedSecondarySemantics,proposedReviewDispositions,recordsWithdrawn,withdrawReason,metadataTransferred,relationshipsPreserved,ruleCode,confidence,humanReviewRequired,beforeCountEffect,afterCountEffect,questionSideWasPartial
A-DQ-p0100-s034,DIRECTIVE_QUESTION_UNIFIED,100,p0100-s034,q_authored,552,566,Define assets?,DIRECTIVE_QUESTION_220,100|directives|552|566 100|questions|552|566,directives@552..566[EXACT] questions@552..566[EXACT],question,directive,,,,100|directives|552|566 100|questions|552|566,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,false
A-DQ-p1008-s015,DIRECTIVE_QUESTION_UNIFIED,1008,p1008-s015,q_authored,345,362,Define 'witness'.,DIRECTIVE_QUESTION_220,1008|directives|345|362 1008|questions|345|362,directives@345..362[EXACT] questions@345..362[EXACT],directive,question,,,,1008|directives|345|362 1008|questions|345|362,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1021-s000,DIRECTIVE_QUESTION_UNIFIED,1021,p1021-s000,q_authored,0,53,List the estimated wealth of religious organizations.,DIRECTIVE_QUESTION_220,1021|directives|0|53 1021|questions|0|53,directives@0..53[EXACT] questions@0..53[EXACT],directive,question,,,,1021|directives|0|53 1021|questions|0|53,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1120-s000,DIRECTIVE_QUESTION_UNIFIED,1120,p1120-s000,q_authored,0,8,Clarify.,DIRECTIVE_QUESTION_220,1120|directives|0|8 1120|questions|0|8,directives@0..8[EXACT] questions@0..8[EXACT],directive,question,,,,1120|directives|0|8 1120|questions|0|8,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0117-s005,DIRECTIVE_QUESTION_UNIFIED,117,p0117-s005,q_authored,200,207,Define.,DIRECTIVE_QUESTION_220,117|directives|200|207 117|questions|200|207,directives@200..207[EXACT] questions@200..207[EXACT],directive,question,,,,117|directives|200|207 117|questions|200|207,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0119-s001,DIRECTIVE_QUESTION_UNIFIED,119,p0119-s001,q_authored,31,53,List the Billionaires.,DIRECTIVE_QUESTION_220,119|directives|31|53 119|questions|31|53,directives@31..53[EXACT] questions@31..53[EXACT],directive,question,,,,119|directives|31|53 119|questions|31|53,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0121-s019,DIRECTIVE_QUESTION_UNIFIED,121,p0121-s019,q_authored,673,678,List.,DIRECTIVE_QUESTION_220,121|directives|673|678 121|questions|673|678,directives@673..678[EXACT] questions@673..678[EXACT],directive,question,,,,121|directives|673|678 121|questions|673|678,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1241-s022,DIRECTIVE_QUESTION_UNIFIED,1241,p1241-s022,q_authored,539,564,Define nuclear stand-off.,DIRECTIVE_QUESTION_220,1241|directives|539|564 1241|questions|539|564,directives@539..564[EXACT] questions@539..564[EXACT],directive,question,,,,1241|directives|539|564 1241|questions|539|564,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1241-s029,DIRECTIVE_QUESTION_UNIFIED,1241,p1241-s029,q_authored,719,735,Define kickback.,DIRECTIVE_QUESTION_220,1241|directives|719|735 1241|questions|719|735,directives@719..735[EXACT] questions@719..735[EXACT],directive,question,,,,1241|directives|719|735 1241|questions|719|735,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1241-s030,DIRECTIVE_QUESTION_UNIFIED,1241,p1241-s030,q_authored,736,754,Define slush fund.,DIRECTIVE_QUESTION_220,1241|directives|736|754 1241|questions|736|754,directives@736..754[EXACT] questions@736..754[EXACT],directive,question,,,,1241|directives|736|754 1241|questions|736|754,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1245-s007,DIRECTIVE_QUESTION_UNIFIED,1245,p1245-s007,q_authored,121,136,Define hostage.,DIRECTIVE_QUESTION_220,1245|directives|121|136 1245|questions|121|136,directives@121..136[EXACT] questions@121..136[EXACT],directive,question,,,,1245|directives|121|136 1245|questions|121|136,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1245-s008,DIRECTIVE_QUESTION_UNIFIED,1245,p1245-s008,q_authored,137,155,Define protection.,DIRECTIVE_QUESTION_220,1245|directives|137|155 1245|questions|137|155,directives@137..155[EXACT] questions@137..155[EXACT],directive,question,,,,1245|directives|137|155 1245|questions|137|155,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1249-s004,DIRECTIVE_QUESTION_UNIFIED,1249,p1249-s004,q_authored,75,90,Define smuggle.,DIRECTIVE_QUESTION_220,1249|directives|75|90 1249|questions|75|90,directives@75..90[EXACT] questions@75..90[EXACT],directive,question,,,,1249|directives|75|90 1249|questions|75|90,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1250-s019,DIRECTIVE_QUESTION_UNIFIED,1250,p1250-s019,q_authored,617,635,Define ‘Exchange’.,DIRECTIVE_QUESTION_220,1250|directives|617|635 1250|questions|617|635,directives@617..635[EXACT] questions@617..635[EXACT],directive,question,,,,1250|directives|617|635 1250|questions|617|635,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
