post,fullSentence,directivePhrase,contextBefore,contextAfter,qAuthored,sourceType,ruling,proposedDestination,reason
"10","Remember, the FBI, and MI, have an open investigation into the CF.","Remember, the FBI, and MI, have an open investigation into the CF.","","Again, good people were forced into bed with this evil under personal and family threats. Could you live with yourself helping to cover up such evil despicable acts if given a safe way out? These people worship Satan _ some openly show it.","unknown","q_post_body","NEEDS_CONTEXT","NEEDS_CONTEXT","Source boundaries could not be established for this drop."
"10","Dig!!!!!","Dig!!!!!","","Again, good people were forced into bed with this evil under personal and family threats. Could you live with yourself helping to cover up such evil despicable acts if given a safe way out? These people worship Satan _ some openly show it.","unknown","q_post_body","NEEDS_CONTEXT","NEEDS_CONTEXT","Source boundaries could not be established for this drop."
"1085","Have faith.","Have faith.","Conspiracy?","Trust the plan.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"1106","Have faith.","Have faith.","Troop unwind to STILL occur.","Trust POTUS.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"1266","Have faith.","Have faith.","You have more than you know.","WWG1WGA.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"151","Have faith, Patriots.","Have faith, Patriots.","Who can you trust?","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"1520","Have faith.","Have faith.","Do you believe in coincidences?","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"190","Have faith.","Have faith.","The stage must be set.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"2049","Have faith.","Have faith.","Re_read drops re: SA","For God & Country.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"2292","Have faith, Patriots.","Have faith, Patriots.",">>3225317","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"236","Have faith.","Have faith.","Think.","These people are losers!","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"336","Have faith.","Have faith.","Why must it be isolated and away from the 2016 election?","These people are stupid!","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"337","Have faith.","Have faith.","You are safe.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"3889","Have faith and trust in yourself.","Have faith and trust in yourself.","Love and Light, Patriot.","WWG1WGA!!!","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"409","Have faith.","Have faith.","Highest priorty.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"430","Have faith.","Have faith.","Plate full.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4419","Have faith.","Have faith.",">>9478621","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4427","Have faith in Humanity.","Have faith in Humanity.","Seeing is Believing.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4429","Have faith in Humanity.","Have faith in Humanity.","And pray in the Spirit on all occasions with all kinds of prayers and requests. With this in mind, be alert and always keep on praying for all the Lord’s people.","Have faith in Yourself.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4429","Have faith in Yourself.","Have faith in Yourself.","Have faith in Humanity.","Have faith in God.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4460","Have faith in Humanity.","Have faith in Humanity.","The World is Watching.","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4491","Have faith in Humanity.","Have faith in Humanity.","https://twitter.com/robbystarbuck/status/1274750593274445825","Have faith in yourself.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4491","Have faith in yourself.","Have faith in yourself.","Have faith in Humanity.","Do not let the media control you [incite division and hatred for one another by use of propaganda and fear mongering [dogma - a point of view or tenet put forth as authoritative without adequate grounds]].","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4550","Have faith in Humanity.","Have faith in Humanity.","One must only look to see.","Have faith in yourself.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4550","Have faith in yourself.","Have faith in yourself.","Have faith in Humanity.","Let light guide you.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4566","Have faith in Humanity.","Have faith in Humanity.","Crimes against Children = common denominator [no matter political affiliation][mass pop awakening].","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4580","Have faith in Humanity.","Have faith in Humanity.","https://twitter.com/Goodable/status/1278829041475346432","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4588","Have faith in Humanity.","Have faith in Humanity.","[General public steered by MSDNC like a dog steering sheep]","Q","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4593","Have faith and trust in yourself.","Have faith and trust in yourself.","When the news is no longer trustworthy it is up to each of us to use discernment.","UNITY NOT DIVISION.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4627","Have Faith in Humanity.","Have Faith in Humanity.","DESTRUCTION OF AMERICA.","Have Faith in Yourself.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
"4627","Have Faith in Yourself.","Have Faith in Yourself.","Have Faith in Humanity.","UNITED WE STAND.","true","q_post_body","REMOVE_STATEMENT_OR_HEADING","Q_CLAIM","Religious, but declarative — a statement, slogan or label rather than an instruction."
