How it was read,Post,Sentence #,Sheet,Text,Detail
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",953,11,Resolution Center,+18,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",953,6,Resolution Center,+29 (16),"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",953,15,Resolution Center,+41,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",959,5,Resolution Center,+8,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",964,25,Resolution Center,+12,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1708,18,Resolution Center,+22,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1948,20,Resolution Center,+29,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
The same line appears twice on one sheet with two different Final Category values — e,10,14,Q Claims,These people worship Satan _ some openly show it.,"sheet said claims, cell said brackets, applied claims"
The same line appeared twice with the same destination,10,14,Q Claims,These people worship Satan _ some openly show it.,The same line appeared twice with the same destination. Certified once.
The same line appears twice on one sheet with two different Final Category values — e,17,8,Q Claims,They use a 5 prong pre packaged injection (one post auto generates four more at random designated times).,"sheet said claims, cell said brackets, applied claims"
