postNum,line,completeText,oldProvenance,newProvenance,sourceType,structure,confidence,referencedPostNum,direction,reason,affectedConsumers
"1","0",">>147005381","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Claims|Entities|Themes"
"10","0","Remember, the FBI, and MI, have an open investigation into the CF. Why did Comey drop this? Who was the FBI director during the Haiti crisis? How many kids disappeared? How much money sent to CF under disguise of H relief went to H? What countries donated big money to CF and why? How much was owed by accepting? When she lost how would this be repaid? What did Obama do with cash just prior to leaving office? Repayment to those who donated for favors/access? Dig!!!!!","QUOTED_OR_EMBEDDED (sustained prose block — pasted or quoted passage)","AMBIGUOUS_MULTIPLE_MATCHES","UNKNOWN","PROSE","LOW","","AMBIGUOUS_MULTIPLE_MATCHES","whole-post prose in early board format with no signature, pointer, quote mark or register anchor — ownership not structurally established","Directives|Questions|Entities|Themes"
"10","1","Again, good people were forced into bed with this evil under personal and family threats. Could you live with yourself helping to cover up such evil despicable acts if given a safe way out? These people worship Satan _ some openly show it.","QUOTED_OR_EMBEDDED (sustained prose block — pasted or quoted passage)","AMBIGUOUS_MULTIPLE_MATCHES","UNKNOWN","PROSE","LOW","","AMBIGUOUS_MULTIPLE_MATCHES","whole-post prose in early board format with no signature, pointer, quote mark or register anchor — ownership not structurally established","Directives|Questions|Entities|Themes"
"1000","0",">>885005","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","999","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer",""
"1002","0",">>885429","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Claims|Emphasis|Entities|Themes"
"1006","0",">>885992","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1005","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Emphasis|Entities"
"1009","0",">>893904","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1008","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Questions|Claims|Emphasis|Entities|Themes"
"101","0",">>148147343","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer",""
"1010","0",">>894110","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1009","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Claims|Codes|Emphasis|Entities|Themes"
"1011","0",">>894401","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1010","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Questions|Claims|Emphasis|Entities"
"1012","0",">>894467","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1011","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Claims|Entities|Themes"
"1012","1","""Our thoughts and prayers are with the four U.S. Marines from the 3rd Marine Aircraft Wing who lost their lives in yesterday’s Southern California helicopter crash. We pray for their families, and our great @USMC""","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_THIRD_PARTY","PROSE","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","self-contained quotation: one line opening and closing on quotation marks, paragraph length","Claims|Entities|Themes"
"1013","0",">>894571","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1012","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Claims|Emphasis|Entities"
"1014","0",">>894658","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1013","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Claims|Emphasis|Entities"
"1016","0",">>896069","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1015","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Emphasis|Entities"
"1017","0",">>896184","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1016","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Emphasis|Entities"
"1018","0",">>896290","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives"
"1019","0",">>896475","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Emphasis|Themes"
"1020","0",">>896546","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Claims|Entities"
"1023","0",">>897173","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Questions"
"1026","0",">>899237","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer",""
"103","0",">>148151281","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Claims|Entities|Themes"
"1031","0",">>914092","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer",""
"1033","0",">>914474","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Questions"
"1034","0",">>914510","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1033","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Questions|Claims|Entities"
"1035","0",">>914582","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer",""
"1038","0",">>916218","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1037","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Claims"
"1040","0",">>919423","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1039","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Questions|Entities"
"1041","0",">>919456","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1040","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Entities|Themes"
"1042","0",">>921715","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer",""
"1043","0",">>922075","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Emphasis|Entities"
"1044","0",">>922142","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1043","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Claims|Entities|Themes"
"1045","0",">>922280","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Emphasis"
"1046","0",">>922343","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1045","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Claims"
"1047","0",">>922559","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Questions|Claims|Entities"
"1048","0",">>922596","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1047","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Claims|Entities|Themes"
"1049","0",">>922685","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_PRIOR_Q_POST","BOARD_POINTER","HIGH","1048","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Questions|Emphasis|Entities"
"1050","0",">>922843","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Entities"
"1051","0",">>923567","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Claims|Emphasis|Entities|Themes"
"1052","0",">>924151","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Claims"
"1053","0",">>924357","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Questions|Claims"
"1054","0",">>924792","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Questions|Claims|Entities"
"1055","0",">>924953","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Questions|Claims|Entities"
"1056","0",">>925189","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Questions|Emphasis|Entities"
"1057","0",">>925311","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer","Directives|Entities|Themes"
"1058","0",">>925762","Q_AUTHORED_CURRENT_POST","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","BOARD_POINTER","HIGH","","OLD_Q_BODY_TO_NEW_QUOTED","board back-reference pointer",""
