post,index,fullSentence,directivePhrase,religiousSegment,qAuthored,sourceType,currentClassification,proposedClassification,religious,ruling,reason
"1","0","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1","1","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"10","0","Remember, the FBI, and MI, have an open investigation into the CF.","Remember, the FBI, and MI, have an open investigation into the CF.","","unknown","q_post_body","Q Directive","Needs Context","false","NEEDS_CONTEXT","Source boundaries could not be established for this drop."
"10","1","Dig!!!!!","Dig!!!!!","","unknown","q_post_body","Q Directive","Needs Context","false","NEEDS_CONTEXT","Source boundaries could not be established for this drop."
"100","0","Define assets?","Define assets?","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1001","0","Collect.","Collect.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1004","0","ACTIVATE D-PRIV","ACTIVATE D-PRIV","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1006","0","COUNT YOUR BEATS.","COUNT YOUR BEATS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","0","Trace background.","Trace background.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","1","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","2","Trace background.","Trace background.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","3","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","4","Trace background.","Trace background.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","5","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","6","Define 'witness'.","Define 'witness'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1008","7","Trust the plan.","Trust the plan.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1010","0","WATER","WATER","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1016","0","Cross against POTUS' schedule.","Cross against POTUS' schedule.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1016","1","Cross against WH visitor log 11/22-1/18/17.","Cross against WH visitor log 11/22-1/18/17.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1018","0","Track edits.","Track edits.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1018","1","Watch for 'TheMagikBOT'.","Watch for 'TheMagikBOT'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1019","0","Follow the LOOP.","Follow the LOOP.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
