What,Post,The text,Why I did not decide it
Directive that instructs nobody,17,"In case you didn’t know, shills log and send new info back to ASF for instruction.","an assertion about what shills do — a Claim in shape, not an instruction"
Directive that instructs nobody,155,Bunker Apple Yellow Sky [… + 1],"a comms string — belongs with the Resolution Center lines, not Directives"
Directive that instructs nobody,175,Bunker Apple Yellow Sky [… + 1],"a comms string — belongs with the Resolution Center lines, not Directives"
Directive that instructs nobody,302,—end—,"a structural end-marker, not an instruction"
Directive that instructs nobody,472,_END_,"a structural end-marker, not an instruction"
Directive that instructs nobody,675,#2.,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#1,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#1,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#1,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#1,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#1,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#1,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#2,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,953,#2,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,1133,#17,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,1402,#64,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,1443,#2.,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,1480,Approval 58203-JX,"a comms string — belongs with the Resolution Center lines, not Directives"
Directive that instructs nobody,1976,#21 - #25,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,2415,——————————–End,"a structural end-marker, not an instruction"
Directive that instructs nobody,3186,#2,"a list marker numbering the drop's own lines, not an instruction"
Directive that instructs nobody,3222,End_of_Topic,"a structural end-marker, not an instruction"
Directive that instructs nobody,3606,-END-,"a structural end-marker, not an instruction"
Directive that instructs nobody,4787,#3,"a list marker numbering the drop's own lines, not an instruction"
Entity with no name yet,300 300,L.,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4206 4206,IN.,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4542,"Mr. President, my prayer is constantly turned to the beloved American nation, where I had the privilege and honor of being sent by Pope Benedict XVI as Apostolic Nuncio. In this dramatic and decisive hour for all of humanity, I am praying for you and also for all those who are at your side in the government of the United States. I trust that the American people are united with me and you in prayer to Almighty God.","You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,34,Q Clearance Patriot,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,35 40,"4,10,20","You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,75 84,Godfather lll,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
