postNum,recordId,occurrenceIndex,fullSentence,directivePhrase,religiousSegment,lineIndex,authorshipState,sourceType,originalPostNum,ruling,religious
"1","1#0","0","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1","1#1","1","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"10","10#0","0","Remember, the FBI, and MI, have an open investigation into the CF.","Remember, the FBI, and MI, have an open investigation into the CF.","","0","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","","REMOVE_QUOTED_OR_THIRD_PARTY","false"
"10","10#1","1","Dig!!!!!","Dig!!!!!","","0","QUOTED_OR_EMBEDDED","QUOTED_ANONYMOUS_POST","","REMOVE_QUOTED_OR_THIRD_PARTY","false"
"100","100#0","0","Define assets?","Define assets?","","34","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1001","1001#0","0","Collect.","Collect.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1004","1004#0","0","ACTIVATE D-PRIV","ACTIVATE D-PRIV","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1006","1006#0","0","COUNT YOUR BEATS.","COUNT YOUR BEATS.","","6","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#0","0","Trace background.","Trace background.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#1","1","Open source.","Open source.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#2","2","Trace background.","Trace background.","","8","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#3","3","Open source.","Open source.","","9","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#4","4","Trace background.","Trace background.","","11","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#5","5","Open source.","Open source.","","12","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#6","6","Define 'witness'.","Define 'witness'.","","15","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1008","1008#7","7","Trust the plan.","Trust the plan.","","38","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1010","1010#0","0","WATER","WATER","","15","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1016","1016#0","0","Cross against POTUS' schedule.","Cross against POTUS' schedule.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1016","1016#1","1","Cross against WH visitor log 11/22-1/18/17.","Cross against WH visitor log 11/22-1/18/17.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1018","1018#0","0","Track edits.","Track edits.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1018","1018#1","1","Watch for 'TheMagikBOT'.","Watch for 'TheMagikBOT'.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1019","1019#0","0","Follow the LOOP.","Follow the LOOP.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"102","102#0","0","Godspeed.","Godspeed.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","REMOVE_BLESSING_OR_VALEDICTION","false"
"1020","1020#0","0","Refer to old drops re: SA / NG.","Refer to old drops re: SA / NG.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1021","1021#0","0","List the estimated wealth of religious organizations.","List the estimated wealth of religious organizations.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1025","1025#0","0","God bless, Q","God bless, Q","","-1","NOT_LOCATED","not_located","","NEEDS_CONTEXT","true"
"1027","1027#0","0","Pray.","Pray.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","true"
"1027","1027#1","1","Watch the news tomorrow.","Watch the news tomorrow.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"103","103#0","0","Come home safe.","Come home safe.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"103","103#1","1","Godspeed.","Godspeed.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","REMOVE_BLESSING_OR_VALEDICTION","false"
"1030","1030#0","0","Pray.","Pray.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","true"
"1032","1032#0","0","Think Navy Ship crashes.","Think Navy Ship crashes.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1034","1034#0","0","Track events.","Track events.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"104","104#0","0","God bless the United States of America.","God bless the United States of America.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","REMOVE_BLESSING_OR_VALEDICTION","true"
"1046","1046#0","0","Enjoy the show.","Enjoy the show.","","5","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1048","1048#0","0","Connect via past religious leaders (re: Hussein).","Connect via past religious leaders (re: Hussein).","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1049","1049#0","0","Think NK.","Think NK.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1049","1049#1","1","Think Nuke stranglehold.","Think Nuke stranglehold.","","2","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1049","1049#2","2","Think logically.","Think logically.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"105","105#0","0","Please pray.","Please pray.","","0","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","true"
"105","105#1","1","Please pause and give thanks to those who would die to save our republic.","Please pause and give thanks to those who would die to save our republic.","","4","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1050","1050#0","0","Stand strong.","Stand strong.","","1","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
"1052","1052#0","0","Enjoy the show.","Enjoy the show.","","3","Q_AUTHORED_CURRENT_POST","q_post_body","","KEEP_Q_DIRECTIVE","false"
