stableOccurrenceId,postNum,fullSentence,storedFragment,directivePhrase,startOffset,endOffset,authorshipState,sourceType,contextBefore,contextAfter,fragmentClass,sentencesOnLine,shadowRulingForReference,proposedRuling,reason
"1#0","1","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","165","243","Q_AUTHORED_CURRENT_POST","Q_BODY","Passport approved to be flagged effective 10/30 @ 12:01am.","US M’s will conduct the operation while NG activated.","SENTENCE_ON_SHARED_LINE","5","KEEP_Q_DIRECTIVE","",""
"1#1","1","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","298","391","Q_AUTHORED_CURRENT_POST","Q_BODY","US M’s will conduct the operation while NG activated.","","SENTENCE_ON_SHARED_LINE","5","KEEP_Q_DIRECTIVE","",""
"10#1","10","Dig!!!!!","Dig!!!!!","Dig!!!!!","461","469","AMBIGUOUS_MULTIPLE_MATCHES","UNKNOWN","Repayment to those who donated for favors/access?","Again, good people were forced into bed with this evil under personal and family threats. Could you live with yourself helping to cover up such evil despicable acts if given a safe way out? These people worship Satan _ some openly show it.","SENTENCE_ON_SHARED_LINE","11","NEEDS_CONTEXT","",""
"117#0","117","Define.","Define.","Define.","14","21","Q_AUTHORED_CURRENT_POST","Q_BODY","What is HUMA?","What book was BO caught reading?","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"121#0","121","Compare.","Compare.","Compare.","34","42","Q_AUTHORED_CURRENT_POST","Q_BODY","List.","Laugh.","SENTENCE_ON_SHARED_LINE","4","KEEP_Q_DIRECTIVE","",""
"121#1","121","List.","List.","List.","28","33","Q_AUTHORED_CURRENT_POST","Q_BODY","What do you need an ID for?","Compare.","SENTENCE_ON_SHARED_LINE","4","KEEP_Q_DIRECTIVE","",""
"121#2","121","Laugh.","Laugh.","Laugh.","43","49","Q_AUTHORED_CURRENT_POST","Q_BODY","Compare.","What is the argument for not allowing voter ID laws to be enacted?","SENTENCE_ON_SHARED_LINE","4","KEEP_Q_DIRECTIVE","",""
"1252#1","1252","It’s time to learn the TRUTH.","Learn the TRUTH.","learn the TRUTH.","13","29","Q_AUTHORED_CURRENT_POST","Q_BODY","","Why are D’s inspiring activist groups to remove history re: slavery?","MID_SENTENCE_FRAGMENT","1","NEEDS_FRAGMENT_REVIEW","",""
"13#1","13","God bless, Patriots.","God bless, Patriots.","God bless, Patriots.","79","99","Q_AUTHORED_CURRENT_POST","Q_BODY","I’ve said too much.","","SENTENCE_ON_SHARED_LINE","3","REMOVE_BLESSING_OR_VALEDICTION","",""
"1359#0","1359","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.”","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.""","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.”","163","297","QUOTED_OR_EMBEDDED","QUOTED_THIRD_PARTY","“A group representing German trade interests said the US decision to withdraw from the deal will hit German companies and urged the EU to protect their interests.","What about Total S.A.?","SENTENCE_ON_SHARED_LINE","2","REMOVE_QUOTED_OR_THIRD_PARTY","",""
"1432#0","1432","Put on the full armor of God so that you can take your stand against the devil’s schemes.","Put on the full armor of God so that you can take your stand against the devil's schemes.","Put on the full armor of God so that you can take your stand against the devil’s schemes.","57","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","""Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"1432#1","1432","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"1432#2","1432","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","And pray in the Spirit on all occasions with all kinds of prayers and requests.","SENTENCE_ON_SHARED_LINE","9","REMOVE_QUOTED_SCRIPTURE","",""
"15#0","15","Realize Soros, Clintons, Obama, Putin, etc. are all controlled by 3 families (the 4th was removed post Trump's victory).","Realize Soros, Clintons, Obama, Putin, etc. are all controlled by 3 families (the 4th was removed post Trump's victory).","Realize Soros, Clintons, Obama, Putin, etc. are all controlled by 3 families (the 4th was removed post Trump's victory).","137","257","Q_AUTHORED_CURRENT_POST","Q_BODY","The wizards and warlocks (inside term) will not allow another Satanic Evil POS control our country.","","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"153#1","153","Make a list.","Make a list.","Make a list.","54","66","Q_AUTHORED_CURRENT_POST","Q_BODY","When is it necessary and must be presented?","Laugh.","SENTENCE_ON_SHARED_LINE","4","KEEP_Q_DIRECTIVE","",""
"153#4","153","Laugh.","Laugh.","Laugh.","67","73","Q_AUTHORED_CURRENT_POST","Q_BODY","Make a list.","Reconcile.","SENTENCE_ON_SHARED_LINE","4","KEEP_Q_DIRECTIVE","",""
"16#1","16","Remember, AG Sessions cannot look like an impartial player that is out to get all former Obama team members as we need him for other important work.","Remember, AG Sessions cannot look like an impartial player that is out to get all former Obama team members as we need him for other important work.","Remember, AG Sessions cannot look like an impartial player that is out to get all former Obama team members as we need him for other important work.","235","383","Q_AUTHORED_CURRENT_POST","Q_BODY","This was always the priority.","All will come into focus and for anyone to think POTUS is not in control is kidding themselves.","SENTENCE_ON_SHARED_LINE","6","KEEP_Q_DIRECTIVE","",""
