postNum,name,trip,nonBlankLines,oldQuotedLines,newQuotedLines,unresolvedLines,delta,spanKinds,directives,firstLine
"1","Anonymous","","2","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","2",">>147005381"
"10","Anonymous","","2","2","0","2","-2","UNKNOWN","2","Remember, the FBI, and MI, have an open investigation into the CF. Why did Comey drop this? Who was the FBI director dur"
"100","Anonymous","","59","0","0","0","0","Q_BODY","1","Who is the Queen of England?"
"101","Anonymous","","9","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>148147343"
"102","Anonymous","","4","0","0","0","0","Q_BODY","1","14.5995° N, 120.9842° E"
"103","Anonymous","","5","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","2",">>148151281"
"104","Anonymous","","4","0","0","0","0","Q_BODY","1","Now is the time to pray."
"105","Anonymous","","7","0","0","0","0","Q_BODY","2","Please pray."
"106","Anonymous","","7","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>148154996"
"107","Anonymous","","6","2","0","0","-2","Q_BODY","2","Code:"
"108","Anonymous","","7","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>148155375"
"109","Anonymous","","3","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>148156518"
"11","Anonymous","","6","0","0","0","0","Q_BODY","0","Key:"
"110","Anonymous","","4","0","0","0","0","Q_BODY","0","MSM."
"111","Anonymous","","58","0","0","0","0","Q_BODY","2","Important Context:"
"112","Anonymous","","18","0","0","0","0","Q_BODY","4","Important to archive."
"113","Anonymous","","21","0","0","0","0","Q_BODY","0","Social media platforms."
"114","Anonymous","","5","0","0","0","0","Q_BODY","0","US Military = savior of mankind."
"115","Anonymous","","2","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>148186000"
"116","Anonymous","","4","0","0","0","0","Q_BODY","2","Crumb dump incoming fast."
"117","Anonymous","","44","0","0","0","0","Q_BODY","2","Why was the arrest of Alwaleed and others important?"
"118","Anonymous","","41","0","0","0","0","Q_BODY","3","What family was permitted to leave immediately after 9-11?"
"119","Anonymous","","23","0","0","0","0","Q_BODY","2","What is money flow disruption?"
"12","Anonymous","","2","2","0","2","-2","UNKNOWN","0","Military Intelligence ref above is the absolute biggest inside drop this board will ever receive."
"120","Anonymous","","32","0","0","0","0","Q_BODY","1","Why, by coincidence, is there a terrorist attack (or mental health c-level attack) within a short time post negative D n"
"121","Anonymous","","31","0","0","0","0","Q_BODY","3","Why were the acts that recently occurred in SA so critically important?"
"122","Anonymous","","27","0","0","0","0","Q_BODY","3","What does money buy?"
"123","Anonymous","","4","0","0","0","0","Q_BODY","0","Nothing is random."
"124","Anonymous","","4","0","0","0","0","Q_BODY","0","+++"
"125","Anonymous","","0","0","0","0","0","","0",""
"126","Anonymous","","5","0","0","0","0","Q_BODY","0","Previous was deleted. Curious."
"127","Anonymous","","5","0","0","0","0","Q_BODY","1","The graphic is your key."
"128","Q","!ITPb.qbhqo","52","0","0","0","0","Q_BODY","9","Trip added."
"129","Q","!ITPb.qbhqo","5","0","0","0","0","Q_BODY","0","[C]los[I]ng [A]ct:"
"13","Anonymous","","1","0","0","0","0","Q_BODY","2","Now think about the timing of POTUS traveling to China/SK. I’ve said too much. God bless, Patriots."
"130","Q","!ITPb.qbhqo","0","0","0","0","0","","0",""
"131","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","1","POTUS NAT SEC E briefing 3:02am."
"132","Q","!ITPb.qbhqo","4","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>148872136"
"133","Q","!ITPb.qbhqo","33","0","0","0","0","Q_BODY","5","Hard to swallow."
"134","Q","!ITPb.qbhqo","20","0","0","0","0","Q_BODY","2","Why were the events in SA extraordinary?"
"135","Q","!ITPb.qbhqo","30","0","0","0","0","Q_BODY","0","ROTHSCHILD OWNED & CONTROLLED BANKS:"
"136","Q","!ITPb.qbhqo","44","0","0","0","0","Q_BODY","0","Cayman Islands: Cayman Islands Monetary Authority"
"137","Q","!ITPb.qbhqo","44","0","0","0","0","Q_BODY","0","Iraq: Central Bank of Iraq"
"138","Q","!ITPb.qbhqo","51","0","0","0","0","Q_BODY","0","Papua New Guinea: Bank of Papua New Guinea"
"139","Q","!ITPb.qbhqo","12","0","0","0","0","Q_BODY","1","List of Republicans, in the House and Senate, who have announced they will not seek re-election:"
"14","Anonymous","","36","0","0","0","0","Q_BODY","0","SCI[F]"
"140","Q","!ITPb.qbhqo","41","0","0","0","0","Q_BODY","2","Wealth (over generations) buys power."
"141","Q","!ITPb.qbhqo","10","0","0","0","0","Q_BODY","2","Rogue operators are here."
"142","Q","!ITPb.qbhqo","48","0","0","0","0","Q_BODY","2","How did Soros replace family ‘y’?"
"143","Q","!ITPb.qbhqo","5","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>149123755"
"144","Q","!ITPb.qbhqo","47","0","0","0","0","Q_BODY","3","Patriots don’t sleep."
"145","Q","!ITPb.qbhqo","9","0","0","0","0","Q_BODY","1","::::WARNING::::"
"146","Q","!ITPb.qbhqo","9","0","0","0","0","Q_BODY","1","::::WARNING::::"
"147","Q","!ITPb.qbhqo","7","0","1","0","1","QUOTED_PRIOR_Q_POST+Q_BODY","0",">>149152383"
"148","Q","!ITPb.qbhqo","13","0","0","0","0","Q_BODY","3","NYT/Clowns In America article released today re: Q-group is a DIRECT attack/warning re: what is being dropped here."
"149","Q","!ITPb.qbhqo","0","0","0","0","0","","0",""
"15","Anonymous","","6","0","0","0","0","Q_BODY","1","There are more good people than bad. The wizards and warlocks (inside term) will not allow another Satanic Evil POS cont"
"150","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","Distress cal[L]s to others will [d]o you/family no good at this stage. We know whe[R]e you/the family are at all times a"
"151","Q","!ITPb.qbhqo","41","0","0","0","0","Q_BODY","1","How do you capture a very dangerous animal?"
"152","Q","!ITPb.qbhqo","4","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>149402286"
"153","Q","!ITPb.qbhqo","28","2","0","0","-2","Q_BODY","5","For the coming days ahead."
"154","Q","!ITPb.qbhqo","25","10","10","0","0","Q_BODY+QUOTED_PRAYER","2","Who financed 9-11?"
"155","Q","!ITPb.qbhqo","6","0","0","0","0","Q_BODY","1","_Conf_D-TT_^_v891_0600_yes"
"156","Q","!ITPb.qbhqo","1","0","0","0","0","Q_BODY","0","++"
"157","Q","!ITPb.qbhqo","44","0","0","0","0","Q_BODY","5","What is a key?"
"158","Q","!ITPb.qbhqo","43","0","0","0","0","Q_BODY","3","(cont..)"
"159","Anonymous","","2","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150169787"
"16","Anonymous","","1","0","0","0","0","Q_BODY","2","Get the popcorn, Friday & Saturday will deliver on the MAGA promise. POTUS knows he must clean house (gov't) in order to"
"160","Anonymous","","2","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150169796"
"161","Anonymous","","3","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150170782"
"162","Q","!ITPb.qbhqo","3","0","0","0","0","Q_BODY","0","QMAP 1/2 confirmed."
"163","Q","!ITPb.qbhqo","5","0","0","0","0","Q_BODY","1","1&2 confirmed."
"164","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","1","Bots deactivated upon arrival."
"165","Q","!ITPb.qbhqo","37","2","0","0","-2","Q_BODY","5","Expand your thinking."
"166","Q","!ITPb.qbhqo","38","2","0","0","-2","Q_BODY","5","(Repost to correct thread)."
"167","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","1","POTUS opened the door of all doors."
"168","Q","!ITPb.qbhqo","4","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>150214567"
"169","Q","!ITPb.qbhqo","2","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150214997"
"17","Anonymous","","6","0","0","0","0","Q_BODY","1","Why does Obama travel in advance of POTUS to foreign locations?"
"170","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","0","Why am I here during the day?"
"171","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","Good will always defeat evil."
"172","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","Good will always defeat evil."
"173","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","0","Good will always defeat evil."
"174","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","0","Coordinated effort to silence."
"175","Q","!ITPb.qbhqo","10","0","0","0","0","Q_BODY","2","Expand your thinking."
"176","Q","!ITPb.qbhqo","7","0","0","0","0","Q_BODY","1","What was posted prior to the stringer?"
"177","Q","!ITPb.qbhqo","15","0","0","0","0","Q_BODY","2","Keywords:"
"178","Q","!ITPb.qbhqo","22","0","0","0","0","Q_BODY","3","Archive immediately."
"179","Q","!ITPb.qbhqo","12","0","0","0","0","Q_BODY","1",">>150398185Shadow war."
"18","Anonymous","","12","0","0","0","0","Q_BODY","0","Why did Mueller meet POTUS 1-day prior to FBI announcement if Mueller COULD NOT be offered director due to prev term lim"
"180","Q","!ITPb.qbhqo","4","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150400127"
"181","Q","!ITPb.qbhqo","5","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","1",">>150403252"
"182","Q","!ITPb.qbhqo","3","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150404273"
"183","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150405114"
"184","Q","!ITPb.qbhqo","9","0","0","0","0","Q_BODY","2","Their need for symbolism will be their downfall."
"185","Q","!ITPb.qbhqo","0","0","0","0","0","","0",""
"186","Q","!ITPb.qbhqo","4","0","0","0","0","Q_BODY","1","You are learning."
"187","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150414073"
"188","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150415097"
"189","Q","!ITPb.qbhqo","33","0","0","0","0","Q_BODY","4","Identify symbolism (Owl / Y)."
"19","Anonymous","","17","2","0","0","-2","Q_BODY","1","Why do D’s want to control the black pop?"
"190","Q","!ITPb.qbhqo","12","0","0","0","0","Q_BODY","1","USA vs."
"191","Q","!ITPb.qbhqo","1","0","1","0","1","QUOTED_ANONYMOUS_POST","0",">>150434251"
"192","Q","!ITPb.qbhqo","10","0","0","0","0","Q_BODY","2","Why are China & Russia communist S/closed?"
"193","Q","!ITPb.qbhqo","2","0","0","0","0","Q_BODY","0","Who really controls NK?"
"194","Q","!ITPb.qbhqo","15","0","0","0","0","Q_BODY","1","U1 – CA – EU – ASIA – IRAN/NK"
"195","Q","!ITPb.qbhqo","15","0","0","0","0","Q_BODY","1","U1 – CA – EU – ASIA – IRAN/NK"
"196","Q","!ITPb.qbhqo","3","0","1","0","1","QUOTED_ANONYMOUS_POST+Q_BODY","0",">>150510227"
