Post,Sentence,GPT Category,Claude Category,Matches GPT,Confidence,Note
265,Bye Bye Johnny.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
277,Goodbye AL.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
391,Goodbye C.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
525,Goodbye @Jack.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
598,Goodbye @Jack.,Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
760,Thank you for showing the world how Clowns pass the narrative to journalists @ 4am.,Acknowledgment / Valediction,Q Claims,NO,high,acknowledgment wrapping an accusation
845,Welcome to China.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
1336,Welcome to the Deep State.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
1741,"Welcome to the no borders, pro pedo, destroy ICE, socialist movement - Antifa (arm of Democratic Party).",Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
1796,Welcome to the mainstream.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
1849,Welcome to THE SWAMP.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
2109,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2196,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2196,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2210,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2252,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2286,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2298,Welcome to the POLICE STATE.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
2300,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2353,WELCOME TO THE DEMOCRAT PARTY.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
2364,"Goodbye, Valerie Jarrett.",Acknowledgment / Valediction,Q Predictions,NO,high,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family)"
2601,"Goodbye, Mr.",Acknowledgment / Valediction,Q Predictions,NO,low,"taunt foretelling the target's exit (""Goodbye, Mr. Rosenstein"" family); split-sentence fragment (period after abbreviation broke the sentence)"
2650,Welcome to the CON.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
2855,Welcome to the Democrat Party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
2981,Welcome to the [D] party CON.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3016,WELCOME TO THE [D] PARTY.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3024,"WELCOME HOME, @SNOWDEN.",Acknowledgment / Valediction,Q Predictions,NO,high,taunt foretelling Snowden's return to the US
3049,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3071,WELCOME TO THE [D] PARTY!,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3243,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3399,Welcome to Epstein Island.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical framing that asserts a condition
3712,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3768,Welcome to the [D] party con.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
3819,Welcome to the [D] party.,Acknowledgment / Valediction,Q Claims,NO,high,rhetorical accusation — asserts the [D] party cons its voters
