postNum,kind,identity,aliasesAttempted,aliasCount,postText
1008,namedEntities,Hussein,,0,It was not supposed to be revealed POTUS is not under criminal investigation _ NOT YET. ⏎ Traitor. ⏎ Massive intel sweep. ⏎ Manafort was a plant.  ⏎ Trace background. ⏎ Open source. ⏎ Who was arrested?  ⏎ Non US. ⏎ Trace background. ⏎ Open source. ⏎ Carter Page was a plant. ⏎ Trace background. ⏎ Open source. ⏎ Why is Mueller going after 'inside plants'? ⏎ Flynn is safe. ⏎ Define 'witness'.  ⏎ Can a 'witness' hold a position of power/influence while ongoing? ⏎ Russia Russia Russia? ⏎ Real or fake? ⏎ Fake? ⏎ JA? ⏎ Seth Rich? ⏎ MS_13 187 [2] -24 -Distance? ⏎ MS[13][13=M]MSM - The 'Wheel'  ⏎ No investigation into WL receipt of information? ⏎ No pull down of NSA metadata trace/C to WL?  ⏎ No pull down of NSA metadata period? ⏎ Nothing transferred across web? ⏎ Direct-to-Direct bypass dump? ⏎ No 'direct' investigation into DNC computer/software? ⏎ No 'direct' investigation into CS? ⏎ FBI/SC/DO
1008,namedEntities,Hussein,,0,It was not supposed to be revealed POTUS is not under criminal investigation _ NOT YET. ⏎ Traitor. ⏎ Massive intel sweep. ⏎ Manafort was a plant.  ⏎ Trace background. ⏎ Open source. ⏎ Who was arrested?  ⏎ Non US. ⏎ Trace background. ⏎ Open source. ⏎ Carter Page was a plant. ⏎ Trace background. ⏎ Open source. ⏎ Why is Mueller going after 'inside plants'? ⏎ Flynn is safe. ⏎ Define 'witness'.  ⏎ Can a 'witness' hold a position of power/influence while ongoing? ⏎ Russia Russia Russia? ⏎ Real or fake? ⏎ Fake? ⏎ JA? ⏎ Seth Rich? ⏎ MS_13 187 [2] -24 -Distance? ⏎ MS[13][13=M]MSM - The 'Wheel'  ⏎ No investigation into WL receipt of information? ⏎ No pull down of NSA metadata trace/C to WL?  ⏎ No pull down of NSA metadata period? ⏎ Nothing transferred across web? ⏎ Direct-to-Direct bypass dump? ⏎ No 'direct' investigation into DNC computer/software? ⏎ No 'direct' investigation into CS? ⏎ FBI/SC/DO
1008,namedEntities,Hussein,,0,It was not supposed to be revealed POTUS is not under criminal investigation _ NOT YET. ⏎ Traitor. ⏎ Massive intel sweep. ⏎ Manafort was a plant.  ⏎ Trace background. ⏎ Open source. ⏎ Who was arrested?  ⏎ Non US. ⏎ Trace background. ⏎ Open source. ⏎ Carter Page was a plant. ⏎ Trace background. ⏎ Open source. ⏎ Why is Mueller going after 'inside plants'? ⏎ Flynn is safe. ⏎ Define 'witness'.  ⏎ Can a 'witness' hold a position of power/influence while ongoing? ⏎ Russia Russia Russia? ⏎ Real or fake? ⏎ Fake? ⏎ JA? ⏎ Seth Rich? ⏎ MS_13 187 [2] -24 -Distance? ⏎ MS[13][13=M]MSM - The 'Wheel'  ⏎ No investigation into WL receipt of information? ⏎ No pull down of NSA metadata trace/C to WL?  ⏎ No pull down of NSA metadata period? ⏎ Nothing transferred across web? ⏎ Direct-to-Direct bypass dump? ⏎ No 'direct' investigation into DNC computer/software? ⏎ No 'direct' investigation into CS? ⏎ FBI/SC/DO
1008,namedEntities,America,,0,It was not supposed to be revealed POTUS is not under criminal investigation _ NOT YET. ⏎ Traitor. ⏎ Massive intel sweep. ⏎ Manafort was a plant.  ⏎ Trace background. ⏎ Open source. ⏎ Who was arrested?  ⏎ Non US. ⏎ Trace background. ⏎ Open source. ⏎ Carter Page was a plant. ⏎ Trace background. ⏎ Open source. ⏎ Why is Mueller going after 'inside plants'? ⏎ Flynn is safe. ⏎ Define 'witness'.  ⏎ Can a 'witness' hold a position of power/influence while ongoing? ⏎ Russia Russia Russia? ⏎ Real or fake? ⏎ Fake? ⏎ JA? ⏎ Seth Rich? ⏎ MS_13 187 [2] -24 -Distance? ⏎ MS[13][13=M]MSM - The 'Wheel'  ⏎ No investigation into WL receipt of information? ⏎ No pull down of NSA metadata trace/C to WL?  ⏎ No pull down of NSA metadata period? ⏎ Nothing transferred across web? ⏎ Direct-to-Direct bypass dump? ⏎ No 'direct' investigation into DNC computer/software? ⏎ No 'direct' investigation into CS? ⏎ FBI/SC/DO
1010,namedEntities,Rothschild,,0,>>894110 ⏎ MONEY. ⏎ POWER. ⏎ CONTROL. ⏎ People are simply in the way. ⏎ SLAVES. ⏎ SHEEP. ⏎ PAWNS. ⏎ MASS EXT EVENTS DESIGNED TO DECREASE THREAT LEVEL OF POPULATION. ⏎ GUN CONTROL. ⏎ WARS [FAKE][TOP HAPPY][BACKEND DEAL]. ⏎ ELECTION RIGGING. ⏎ CONTROL. ⏎ YOUR VOICE DOES NOT MATTER. ⏎ PHARMA [CLAS-D] ⏎ WATER ⏎ AIR ⏎ CHEMICALS PUSHED FOR HOME USE CLEANING [CANCER][BABY ON FLOOR-HANDS IN MOUTH - THE START]. ⏎ VACCINES [NOT ALL]. ⏎ TOBACCO. ⏎ OPIOIDS.  ⏎ ULTIMATE WIN [DEATH + MONEY]. ⏎ THE FED. ⏎ ROTHSCHILD. ⏎ 'CONSPIRACY' ⏎ 'CONSPIRACY' ⏎ 'CONSPIRACY' ⏎ UK/GER [5 days]. ⏎ Choice is yours. ⏎ REVELATIONS. ⏎ ENOUGH IS ENOUGH. ⏎ Q ⏎ 
1010,namedEntities,The Fed,The Fed,1,>>894110 ⏎ MONEY. ⏎ POWER. ⏎ CONTROL. ⏎ People are simply in the way. ⏎ SLAVES. ⏎ SHEEP. ⏎ PAWNS. ⏎ MASS EXT EVENTS DESIGNED TO DECREASE THREAT LEVEL OF POPULATION. ⏎ GUN CONTROL. ⏎ WARS [FAKE][TOP HAPPY][BACKEND DEAL]. ⏎ ELECTION RIGGING. ⏎ CONTROL. ⏎ YOUR VOICE DOES NOT MATTER. ⏎ PHARMA [CLAS-D] ⏎ WATER ⏎ AIR ⏎ CHEMICALS PUSHED FOR HOME USE CLEANING [CANCER][BABY ON FLOOR-HANDS IN MOUTH - THE START]. ⏎ VACCINES [NOT ALL]. ⏎ TOBACCO. ⏎ OPIOIDS.  ⏎ ULTIMATE WIN [DEATH + MONEY]. ⏎ THE FED. ⏎ ROTHSCHILD. ⏎ 'CONSPIRACY' ⏎ 'CONSPIRACY' ⏎ 'CONSPIRACY' ⏎ UK/GER [5 days]. ⏎ Choice is yours. ⏎ REVELATIONS. ⏎ ENOUGH IS ENOUGH. ⏎ Q ⏎ 
1054,namedEntities,Ray Chandler,,0,>>924792 ⏎ Look up Ray.Chandler. ⏎ None are safe. ⏎ Q ⏎ 
1082,namedEntities,JFK Jr.,JFK Jr.,1,POTUS & JFK JR. ⏎ Relationship. ⏎ Plane crash 1999. ⏎ HRC Senate 2000. ⏎ The “Start.” ⏎ Enjoy the show. ⏎ Q ⏎ 
1086,namedEntities,NO NAME,,0,>>954786 ⏎ No name in Syria. ⏎ Timeline. ⏎ Purpose? ⏎ Who attended? ⏎ No name panic. ⏎ Health cover. ⏎ Fast. ⏎ Q ⏎ 
1092,namedEntities,NO NAME,,0,>>955898 ⏎ We love phones! ⏎ No name should know better. ⏎ Q ⏎ 
1094,namedEntities,US Senate,US Senate,1,Flag. ⏎ SEC detail background. ⏎ All looking away. ⏎ ‘TRUSTED’ close proximity. ⏎ Refugees who work/ed US House / Senate? ⏎ Traitor. ⏎ Q ⏎ 
1098,namedEntities,Hussein,,0,>>958655 ⏎ Why did HUSSEIN PROTECT ISIS? ⏎ POTUS ISIS focus and destroy 1 year? ⏎ vs HUSSEIN 8 years? ⏎ vs GWB? ⏎ DC access. ⏎ Sold out. ⏎ Bring back the gallows! ⏎ Q ⏎ 
1098,namedEntities,Hussein,,0,>>958655 ⏎ Why did HUSSEIN PROTECT ISIS? ⏎ POTUS ISIS focus and destroy 1 year? ⏎ vs HUSSEIN 8 years? ⏎ vs GWB? ⏎ DC access. ⏎ Sold out. ⏎ Bring back the gallows! ⏎ Q ⏎ 
1102,namedEntities,Hussein,,0,">>966637 ⏎ PEOPLE have POWER. ⏎ Don't forget how to PLAY. ⏎ TOGETHER YOU ARE STRONG. ⏎ FB violation of YOUR PRIVACY. ⏎ FB actively TRACKING YOU. ⏎ FB reading your PRIVATE messages. ⏎ FB CENSORING (anti conservative). ⏎ More will drop. ⏎ We have it ALL. ⏎ CLASS ACTION LAWSUITS are EFFECTIVE.  ⏎ GLOBAL. ⏎ @Jack ⏎ You're next. ⏎ What is Jack's SECRET T-handle? ⏎ 'Dummy' accounts to talk. ⏎ What you SEE is LIMITED. ⏎ Think emails (LL, HRC, HUSSEIN, etc). ⏎ Q ⏎ "
1122,namedEntities,Sessions,,0,>>979093 ⏎ TRUST SESSIONS. ⏎ TRUST WRAY. ⏎ TRUST KANSAS. ⏎ TRUST HOROWITZ. ⏎ TRUST HUBER. ⏎ Q ⏎ 
1122,namedEntities,Huber,,0,>>979093 ⏎ TRUST SESSIONS. ⏎ TRUST WRAY. ⏎ TRUST KANSAS. ⏎ TRUST HOROWITZ. ⏎ TRUST HUBER. ⏎ Q ⏎ 
1122,namedEntities,Wray,Wray,1,>>979093 ⏎ TRUST SESSIONS. ⏎ TRUST WRAY. ⏎ TRUST KANSAS. ⏎ TRUST HOROWITZ. ⏎ TRUST HUBER. ⏎ Q ⏎ 
