sentenceId,postNum,categories,classification,eligible,reasons,sentenceText,spans
p1432-s002,1432,claims + directives,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",claims[PARTIAL] 151..241 -> p1432-s002 | directives[EXACT] 147..237 -> p1432-s002
p1445-s006,1445,claims + directives,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Trace sale/spin off of Co.,claims[PARTIAL] 141..166 -> p1445-s006 | directives[EXACT] 141..167 -> p1445-s006
p0016-s000,16,directives + predictions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"Get the popcorn, Friday & Saturday will deliver on the MAGA promise.",predictions[PARTIAL] 17..68 -> p0016-s000 | directives[EXACT] 0..68 -> p0016-s000
p1824-s000,1824,claims + directives + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"Ask yourself, if the U.S. GDP is greater than the total of all others  combined (G7), which allows us to negotiate from a position of strength, why would previous President's 'knowingly' [unequally] distribute America's wealth away by making unbalanced trade deals?",claims[PARTIAL] 17..84 -> p1824-s000 | directives[EXACT] 0..90 -> p1824-s000 | questions[PARTIAL] 26..116 -> p1824-s000
p1915-s011,1915,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Same day as the targeted [coordinated] attack v. POTUS?,claims[EXACT] 932..987 -> p1915-s011 | questions[PARTIAL] 981..987 -> p1915-s011
p1928-s012,1928,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,https://vault.fbi.gov/d1-release/d1-release/viewWho is [1 of 4] FIREWALLS?,claims[EXACT] 439..513 -> p1928-s012 | questions[PARTIAL] 503..513 -> p1928-s012
p1944-s022,1944,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,'Foreign' tangent req to obtain warrant to spy on U.S. ORIG?,claims[EXACT] 1185..1245 -> p1944-s022 | questions[PARTIAL] 1240..1245 -> p1944-s022
p1944-s014,1944,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,Given magnitude of spy campaign (U.S. Presidential Election Republican Party Nominee Candidate + President Elect + President of the United States) would HUSSEIN be required to DIRECT ORDER?,claims[PARTIAL] 682..719 -> p1944-s014 | questions[PARTIAL] 720..810 -> p1944-s014
p2072-s013,2072,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"But… interestingly, if nothing is being done behind the scenes, why are there 50,000+ sealed indictments across the US [what % = USA v. X?]?",claims[PARTIAL] 1474..1564 -> p2072-s013 | questions[PARTIAL] 1610..1614 -> p2072-s013
p2211-s041,2211,claims + questions,CONTAINED_PARTIAL_SAME_SENTENCE,true,,"But… interestingly, if nothing is being done behind the scenes, why are there 50,000+ sealed indictments across the US [what % = USA v. X?]?",claims[PARTIAL] 4012..4102 -> p2211-s041 | questions[PARTIAL] 4148..4152 -> p2211-s041
