post,layer_or_identity,disposition,state,applied,why,what_would_settle_it,reviewed_in
"#48","Canada","F","INTENTIONALLY_UNRESOLVED","no — left as is","The drop writes 'Why is the Canadian PM so important?' — the ADJECTIVE, never the country's name. Whether an adjectival form counts as naming the identity is a policy question for the whole archive, not for one row: settling it here would silently decide 'Russian', 'German', 'Iranian' and 'Chinese' as well. The occurrence is neither clearly a mention nor clearly not one, which is what F is for.","An owner ruling on whether a demonym is a mention of the country. If yes, register 'Canadian' as an alias and the row closes; if no, withdraw the occurrence.","audit/lane-b-dispositions-structural.json"
"#1094","US Senate","F","INTENTIONALLY_UNRESOLVED","no — left as is","One of the nine F rows of the Owner Ruling 3 population. Only 'Senate' appears, and that spelling is already a registered form of 'United States Senate', so registering it here would make one token name two identities — invariant 4 in a new costume. The owner ruled on 2026-08-22: do not touch the 9 F rows; they remain explicitly unresolved unless new evidence independently settles them.","owner direction of 2026-08-22 — untouched on purpose","audit/lane-b-dispositions-structural.json"
"#1359","France","F","INTENTIONALLY_UNRESOLVED","no — left as is","The drop writes 'Total S.A. is a French multinational integrated oil and gas company' — again the adjective, and here describing a company's nationality rather than an act of the state. Same open question as #48 and it must get the same answer.","The same owner ruling on demonyms.","audit/lane-b-dispositions-structural.json"
"#2335","People's Liberation Army","F","INTENTIONALLY_UNRESOLVED","no — left as is","Owner Ruling 3 F row — left explicitly unresolved by the owner's direction of 2026-08-22.","owner direction of 2026-08-22 — untouched on purpose","audit/lane-b-dispositions-structural.json"
"#2768","Kamala Harris","F","INTENTIONALLY_UNRESOLVED","no — left as is","Owner Ruling 3 F row — left explicitly unresolved by the owner's direction of 2026-08-22.","owner direction of 2026-08-22 — untouched on purpose","audit/lane-b-dispositions-structural.json"
"#2955","Whitaker","QUARANTINED","INTENTIONALLY_NON_ACTIONABLE","no — left as is","Examined and REFUSED. A case variant whose registration was declined; the owner ruled on 2026-08-22 not to reopen the three lane-A refusals merely because lane A should ideally be zero.","nothing: examined and refused by owner direction","audit/lane-b-dispositions-structural.json"
"#2971","questions","E","WITHDRAW","yes — applied, reversible","A question record spanning a quoted line, a pasted synonyms list and Q's own 'PROOF = EVIDENCE?'. The Q-authored part is already certified on its own at 782..799 and was narrowed there by B3-NARROW-2971-qf-23. This is the 2026-08-20 queue ruling's row: the owner ruled the CLASSIFICATION — that unit is a question — and the segmenter supplied the span, which swallowed two lines of pasted dictionary copy. Trimming it to its Q-authored part collapses onto the record that already exists, so the record is withdrawn. Flagged because it originates in an owner ruling.","a word from you either way; the change is one line to reverse","audit/lane-b-dispositions-unlocated.json"
"#3159","Paris Hilton","F","INTENTIONALLY_UNRESOLVED","no — left as is","Owner Ruling 3 F row — left explicitly unresolved by the owner's direction of 2026-08-22. A first pass proposed 'Paris' as an alias; a fragment must be at least 60% of the canonical AND unclaimed, and this is neither.","owner direction of 2026-08-22 — untouched on purpose","audit/lane-b-dispositions-structural.json"
"#3690","Gang of 8","QUARANTINED","INTENTIONALLY_NON_ACTIONABLE","no — left as is","Examined and REFUSED, as above. 'GANG OF 8' was one of the five canonical identities Owner Ruling 1 merged into 'Gang of Eight', so a further alias here would re-open a registry question the owner has already settled once.","nothing: examined and refused by owner direction","audit/lane-b-dispositions-structural.json"
"#4247","USNS Comfort","F","INTENTIONALLY_UNRESOLVED","no — left as is","Owner Ruling 3 F row — left explicitly unresolved by the owner's direction of 2026-08-22.","owner direction of 2026-08-22 — untouched on purpose","audit/lane-b-dispositions-structural.json"
