stableOccurrenceId,postNum,fullSentence,storedFragment,directivePhrase,leadingWord,startOffset,endOffset,authorshipState,sourceType,contextBefore,contextAfter,shadowRulingForReference,proposedRuling,reason
"1183#0","1183","Push to DIVIDE is strong.","Push to DIVIDE is strong.","Push to DIVIDE is strong.","Push","0","25","Q_AUTHORED_CURRENT_POST","Q_BODY",">>1105264","Think pre vs post 2016 election.","KEEP_Q_DIRECTIVE","",""
"128#2","128","Look there, or [here], or there, truth is behind you.","Look there, or [here], or there, truth is behind you.","Look there, or [here], or there, truth is behind you.","Look","0","53","Q_AUTHORED_CURRENT_POST","Q_BODY","Think mirror.","What is a map?","KEEP_Q_DIRECTIVE","",""
"1335#0","1335","Note the pictures we post are ALL originals.","Note the pictures we post are ALL originals.","Note the pictures we post are ALL originals.","Note","0","44","Q_AUTHORED_CURRENT_POST","Q_BODY",">>1366601","Think about what that means.","KEEP_Q_DIRECTIVE","",""
"1358#7","1358","Trust is not blind, nor is truth.","Trust is not blind, nor is truth.","Trust is not blind, nor is truth.","Trust","0","33","Q_AUTHORED_CURRENT_POST","Q_BODY","Trust must be earned.","We fight every sigle day on behalf of you, the people who put us here.","KEEP_Q_DIRECTIVE","",""
"1613#0","1613","Rest assured JUSTICE will be served.","Rest assured JUSTICE will be served.","Rest assured JUSTICE will be served.","Rest","0","36","Q_AUTHORED_CURRENT_POST","Q_BODY","Sound familiar?","Q","KEEP_Q_DIRECTIVE","",""
"1645#1","1645","FIGHT for what is RIGHT!","FIGHT for what is RIGHT!","FIGHT for what is RIGHT!","FIGHT","0","24","Q_AUTHORED_CURRENT_POST","Q_BODY","https://m.youtube.com/watch?v=JDVT-8tUfiE","FIGHT for FREEDOM!","KEEP_Q_DIRECTIVE","",""
"23#0","23","Note MI has the same SAPs as NSA, CIA etc as designated post 9-11.","Note MI has the same SAPs as NSA, CIA etc as designated post 9-11.","Note MI has the same SAPs as NSA, CIA etc as designated post 9-11.","Note","0","66","Q_AUTHORED_CURRENT_POST","Q_BODY","","Why is this relevant?","KEEP_Q_DIRECTIVE","",""
"2788#3","2788","TRUST THAT YOU ARE NOT ALONE.","TRUST THAT YOU ARE NOT ALONE.","TRUST THAT YOU ARE NOT ALONE.","TRUST","0","29","Q_AUTHORED_CURRENT_POST","Q_BODY","TRUST YOURSELF.","TRUST THAT THERE ARE GOOD PEOPLE RIGHT BESIDE YOU FIGHTING FOR WHAT WE KNOW TO BE RIGHT.","KEEP_Q_DIRECTIVE","",""
"2788#4","2788","TRUST THAT THERE ARE GOOD PEOPLE RIGHT BESIDE YOU FIGHTING FOR WHAT WE KNOW TO BE RIGHT.","TRUST THAT THERE ARE GOOD PEOPLE RIGHT BESIDE YOU FIGHTING FOR WHAT WE KNOW TO BE RIGHT.","TRUST THAT THERE ARE GOOD PEOPLE RIGHT BESIDE YOU FIGHTING FOR WHAT WE KNOW TO BE RIGHT.","TRUST","0","88","Q_AUTHORED_CURRENT_POST","Q_BODY","TRUST THAT YOU ARE NOT ALONE.","GOD BLESS YOU ALL.","KEEP_Q_DIRECTIVE","",""
"2940#0","2940","Note: Not all are USA v. [       ]","Note: Not all are USA v. [ ]","Note: Not all are USA v. [       ]","Note","0","34","Q_AUTHORED_CURRENT_POST","Q_BODY","Thank you, Anon.","Nothing to see here.","KEEP_Q_DIRECTIVE","",""
"34#0","34","Rest assured, the safety and well-being of every man, woman, and child of this country is being exhausted in full.","Rest assured, the safety and well-being of every man, woman, and child of this country is being exhausted in full.","Rest assured, the safety and well-being of every man, woman, and child of this country is being exhausted in full.","Rest","941","1055","Q_AUTHORED_CURRENT_POST","Q_BODY","False leaks have been made to retain several within the confines of the United States to prevent extradition and special operator necessity.","However, the atmosphere within the country will unfortunately be divided as so many have fallen for the corrupt and evil narrative that has long been broadcast.","KEEP_Q_DIRECTIVE","",""
"4316#0","4316","Fear not, all will be well right after the election.","Fear not, all will be well right after the election.","Fear not, all will be well right after the election.","Fear","0","52","Q_AUTHORED_CURRENT_POST","Q_BODY","https://twitter.com/2020Qanon/status/1264661017721745414","Is this about the virus OR THE ELECTION?","KEEP_Q_DIRECTIVE","",""
"4553#10","4553","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select","0","123","Q_AUTHORED_CURRENT_POST","Q_BODY","Non-blue checkmarks then defend and promote attacker(s) [blues] viewpoint(s) [leftwing 'cult'] to instill echo_chamber wall-to-wall amplified narrative for each designated subject.","[How to herd the sheep (you) 101]","KEEP_Q_DIRECTIVE","",""
"4556#0","4556","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select","0","123","Q_AUTHORED_CURRENT_POST","Q_BODY","Non-blue checkmarks then defend and promote attacker(s) [blues] viewpoint(s) [leftwing 'cult'] to instill echo_chamber wall-to-wall amplified narrative for each designated subject.","[How to herd the sheep (you) 101]","KEEP_Q_DIRECTIVE","",""
"4963#3","4963","Time to show the world.","Time to show the world.","Time to show the world.","Time","0","23","Q_AUTHORED_CURRENT_POST","Q_BODY","You have seen the truth.","Focus.","KEEP_Q_DIRECTIVE","",""
"5#1","5","Note this doesn’t include massive slush funds that are pulled by several high ups.","Note this doesn't include massive slush funds that are pulled by several high ups.","Note this doesn’t include massive slush funds that are pulled by several high ups.","Note","54","136","Q_AUTHORED_CURRENT_POST","Q_BODY","Why did Soros transfer his bulk public funds to a NP?","Why did Soros’ son have several meetings with Canadian PM and how is that related to Clinton’s?","KEEP_Q_DIRECTIVE","",""
"51#0","51","Rest assured POTUS is backed by the absolute finest people alive who are all dedicated to the eradication evil and corruption from the US/World.","Rest assured POTUS is backed by the absolute finest people alive who are all dedicated to the eradication evil and corruption from the US/World.","Rest assured POTUS is backed by the absolute finest people alive who are all dedicated to the eradication evil and corruption from the US/World.","Rest","0","144","Q_AUTHORED_CURRENT_POST","Q_BODY_LETTER_VOICE","The time is now.","Find peace.","KEEP_Q_DIRECTIVE","",""
"53#0","53","List out all who have foundations.","List out all who have foundations.","List out all who have foundations.","List","0","34","Q_AUTHORED_CURRENT_POST","Q_BODY","","Why is this relevant?","KEEP_Q_DIRECTIVE","",""
"533#1","533","STAND UP AND DEFEND WHAT YOU KNOW IS RIGHT.","STAND UP AND DEFEND WHAT YOU KNOW IS RIGHT.","STAND UP AND DEFEND WHAT YOU KNOW IS RIGHT.","STAND","0","43","Q_AUTHORED_CURRENT_POST","Q_BODY","STAND UP PATRIOTS.","GOD BLESS YOU AND GOD BLESS THE UNITED STATES OF AMERICA.","KEEP_Q_DIRECTIVE","",""
"566#1","566","Release coming.","Release coming.","Release coming.","Release","0","15","Q_AUTHORED_CURRENT_POST","Q_BODY","Read the #Memo.","Final clearance underway.","KEEP_Q_DIRECTIVE","",""
"6#4","6","Note this doesn’t include massive slush funds that are pulled by several high ups.","Note this doesn't include massive slush funds that are pulled by several high ups.","Note this doesn’t include massive slush funds that are pulled by several high ups.","Note","54","136","Q_AUTHORED_CURRENT_POST","Q_BODY","Why did Soros transfer his bulk public funds to a NP?","Why did Soros’ son have several meetings with Canadian PM and how is that related to Clinton’s?","KEEP_Q_DIRECTIVE","",""
"617#0","617","Select news members / journalists are vital to delivering the message (as are YOU).","Select news members / journalists are vital to delivering the message (as are YOU).","Select news members / journalists are vital to delivering the message (as are YOU).","Select","0","83","Q_AUTHORED_CURRENT_POST","Q_BODY",">>175139","Imagine if these people were removed.","KEEP_Q_DIRECTIVE","",""
"724#0","724","Note ""The Hunt For"" was dropped.","Note ""The Hunt For"" was dropped.","Note ""The Hunt For"" was dropped.","Note","0","32","Q_AUTHORED_CURRENT_POST","Q_BODY","Future news will highlight.","Details matter.","KEEP_Q_DIRECTIVE","",""
"762#0","762","Watch the news re: new drugs coming out [flu/dirt/next?].","Watch the news re: new drugs coming out [flu/dirt/next?].","Watch the news re: new drugs coming out [flu/dirt/next?].","Watch","0","57","Q_AUTHORED_CURRENT_POST","Q_BODY","They are ALWAYS watching.","What a coincidence.","KEEP_Q_DIRECTIVE","",""
"937#1","937","Trust there are more good than bad.","Trust there are more good than bad.","Trust there are more good than bad.","Trust","0","35","Q_AUTHORED_CURRENT_POST","Q_BODY","Trust the plan.","The WORLD is helping.","KEEP_Q_DIRECTIVE","",""
