stableOccurrenceId,postNum,oldRuling,finalRuling,oldSentenceText,newFullSentenceText,directivePhrase,directiveSegments,religiousSegment,themes,authorshipState,sourceType,dataAction,reason
"1#0","1","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1#1","1","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"10#0","10","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Remember, the FBI, and MI, have an open investigation into the CF.","Remember, the FBI, and MI, have an open investigation into the CF.","Remember","Remember","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","OWNER RULING: ""Remember"" is the imperative; the rest of the sentence is the proposition the reader is instructed to remember."
"10#1","10","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Dig!!!!!","Dig!!!!!","Dig","Dig","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","OWNER RULING: a direct imperative."
"100#0","100","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Define assets?","Define assets?","Define assets?","Define assets?","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1001#0","1001","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Collect.","Collect.","Collect.","Collect.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1004#0","1004","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","ACTIVATE D-PRIV","ACTIVATE D-PRIV","ACTIVATE D-PRIV","ACTIVATE D-PRIV","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1006#0","1006","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","COUNT YOUR BEATS.","COUNT YOUR BEATS.","COUNT YOUR BEATS.","COUNT YOUR BEATS.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#0","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Trace background.","Trace background.","Trace background.","Trace background.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#1","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Open source.","Open source.","Open source.","Open source.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#2","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Trace background.","Trace background.","Trace background.","Trace background.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#3","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Open source.","Open source.","Open source.","Open source.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#4","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Trace background.","Trace background.","Trace background.","Trace background.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#5","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Open source.","Open source.","Open source.","Open source.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#6","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Define 'witness'.","Define 'witness'.","Define 'witness'.","Define 'witness'.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1008#7","1008","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Trust the plan.","Trust the plan.","Trust the plan.","Trust the plan.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1010#0","1010","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","WATER","WATER","WATER","WATER","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1016#0","1016","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Cross against POTUS' schedule.","Cross against POTUS’ schedule.","Cross against POTUS’ schedule.","Cross against POTUS’ schedule.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1016#1","1016","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Cross against WH visitor log 11/22-1/18/17.","Cross against WH visitor log 11/22-1/18/17.","Cross against WH visitor log 11/22-1/18/17.","Cross against WH visitor log 11/22-1/18/17.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1018#0","1018","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Track edits.","Track edits.","Track edits.","Track edits.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1018#1","1018","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Watch for 'TheMagikBOT'.","Watch for ‘TheMagikBOT’.","Watch for ‘TheMagikBOT’.","Watch for ‘TheMagikBOT’.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1019#0","1019","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Follow the LOOP.","Follow the LOOP.","Follow the LOOP.","Follow the LOOP.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"102#0","102","REMOVE_BLESSING_OR_VALEDICTION","REMOVE_BLESSING_OR_VALEDICTION","Godspeed.","","Godspeed.","Godspeed.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_FROM_DIRECTIVES","blessing or valediction, not a command"
"1020#0","1020","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Refer to old drops re: SA / NG.","Refer to old drops re: SA / NG.","Refer to old drops re: SA / NG.","Refer to old drops re: SA / NG.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1021#0","1021","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","List the estimated wealth of religious organizations.","List the estimated wealth of religious organizations.","List the estimated wealth of religious organizations.","List the estimated wealth of religious organizations.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1025#0","1025","REMOVE_BLESSING_OR_VALEDICTION","REMOVE_BLESSING_OR_VALEDICTION","God bless, Q","","God bless,","God bless,","","","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_FROM_DIRECTIVES","blessing/valediction, Q signature cut into its own span (rule 7)"
"1027#0","1027","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","KEEP_DIRECTIVE_AND_RELIGIOUS_THEME","Pray.","Pray.","Pray.","Pray.","","Religion & Spirituality","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"1027#1","1027","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Watch the news tomorrow.","Watch the news tomorrow.","Watch the news tomorrow.","Watch the news tomorrow.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"103#0","103","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","Come home safe.","Come home safe.","Come home safe.","Come home safe.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP","canonical post body, no embedded-source evidence"
"103#1","103","REMOVE_BLESSING_OR_VALEDICTION","REMOVE_BLESSING_OR_VALEDICTION","Godspeed.","","Godspeed.","Godspeed.","","","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_FROM_DIRECTIVES","blessing or valediction, not a command"
