recordId,postNum,storedPhrase,directivePhrase,priorAuthorshipState,v3AuthorshipState,priorRuling,proposedRuling,v3SourceType,referencedPostNum,reason,confidence,spanRepaired
"107#0","107","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"1291#3","1291","Step back.","Step back.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"1294#0","1294","Stay strong.","Stay strong.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"1295#2","1295","The only profit we should all be striving for is TRUE FREEDOM.","The only profit we should all be striving for is TRUE FREEDOM.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"1358#5","1358","Trust must be earned.","Trust must be earned.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"1777#0","1777","Please post your pic/vid as POTUS specifically pointed at you moments ago.","Please post your pic/vid as POTUS specifically pointed at you moments ago.","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"2039#0","2039","LET FREEDOM RING, PATRIOTS.","LET FREEDOM RING, PATRIOTS.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"2314#1","2314","Allow us to carry this heavy burden.","Allow us to carry this heavy burden.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"2351#1","2351","DO NOT LOOK HERE [CHINA] https://www.youtube.com/watch?v=aeVrMniBjSc","DO NOT LOOK HERE [CHINA]","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"2378#1","2378","DO NOT LOOK HERE [CHINA] https://www.youtube.com/watch?v=aeVrMniBjSc","DO NOT LOOK HERE [CHINA]","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"2382#1","2382","Re_read drops re: Polls https://www.oge.gov/web/oge.nsf/Resources/Political+Activities https://osc.gov/resources/ha%20pamphlet%20sept%202014.pdf","Re_read drops re: Polls","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"2395#0","2395","Re_read drops re: MS13 https://twitter.com/RepMattGaetz/status/1052629557826736129","Re_read drops re: MS13","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
"2436#0","2436","Remember the battles of Lexington and Concord - ""Give Me Liberty or Give Me Death!""","Remember the battles of Lexington and Concord - ""Give Me Liberty or Give Me Death!""","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"2436#1","2436","WE MUST RISE AGAIN.","WE MUST RISE AGAIN.","Q_AUTHORED_CURRENT_POST","Q_AUTHORED_CURRENT_POST","REMOVE_BLESSING_OR_VALEDICTION","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","false"
"25#1","25","Return to comments re: Pelosi and John M (some of us refuse to say his last name for a reason).","Return to comments re: Pelosi and John M (some of us refuse to say his last name for a reason).","QUOTED_OR_EMBEDDED","Q_AUTHORED_CURRENT_POST","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","Q_BODY","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation","HIGH","false"
"2500#0","2500","Re_read drops re: WARNINGS https://www.washingtonpost.com/politics/new-book-by-trump-advisers-calls-out-the-presidents-embedded-enemies/2018/11/24/afcbd0fc-ede3-11e8-baac-2a674e91502b_story.html?utm_term=.80e6d1b24752","Re_read drops re: WARNINGS","NOT_LOCATED","Q_AUTHORED_CURRENT_POST","NEEDS_CONTEXT","KEEP_Q_DIRECTIVE","Q_BODY","","canonical post body, no embedded-source evidence","HIGH","true"
