occurrenceKey,postNum,kind,start,end,identicalText,textA,textB,context
1009|namedEntities|303|305,1009,namedEntities,303,305,false,Arizona,AZ,    China/Russia pass-through-intel-pull road block. ⏎ >>> Name we don't say AZ road block. ⏎     Jeff Flake AZ road block.
1010|namedEntities|504|507,1010,namedEntities,504,507,false,Germany,GER,    'CONSPIRACY' ⏎ >>> UK/GER [5 days]. ⏎     Choice is yours.
111|namedEntities|1073|1077,111,namedEntities,1073,1077,true,Huma,Huma,    What faith does the MB represent? ⏎ >>> What faith does Huma represent? ⏎     Who are the bad actors?
111|namedEntities|1073|1077,111,namedEntities,1073,1077,true,Huma,Huma,    What faith does the MB represent? ⏎ >>> What faith does Huma represent? ⏎     Who are the bad actors?
111|namedEntities|1073|1077,111,namedEntities,1073,1077,true,Huma,Huma,    What faith does the MB represent? ⏎ >>> What faith does Huma represent? ⏎     Who are the bad actors?
111|namedEntities|1073|1077,111,namedEntities,1073,1077,true,Huma,Huma,    What faith does the MB represent? ⏎ >>> What faith does Huma represent? ⏎     Who are the bad actors?
1195|namedEntities|29|34,1195,namedEntities,29,34,false,MS-13,MS_13,    SR connect to DNC. ⏎ >>> MS_13. ⏎     JA.
1220|namedEntities|104|108,1220,namedEntities,104,108,false,Clinton Health Access Initiative,CHAI,    HIV/AIDS. ⏎ >>> CHAI. ⏎     Clinton Foundation conflicts of interest.
1235|namedEntities|145|149,1235,namedEntities,145,149,true,Huma,Huma,    Good article. ⏎ >>> Don’t forget about Huma. ⏎     AWAN.
1265|namedEntities|155|160,1265,namedEntities,155,160,true,Flynn,Flynn,    Part of the plan? ⏎ >>> Flynn JR recent “did not lie to VP.” ⏎     Timing.
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,true,Sessions,Sessions,    Common denominator. ⏎ >>> Why did Sessions pick RR? ⏎     Everyone has an opinion.
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,true,Sessions,Sessions,    Common denominator. ⏎ >>> Why did Sessions pick RR? ⏎     Everyone has an opinion.
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,true,Sessions,Sessions,    Common denominator. ⏎ >>> Why did Sessions pick RR? ⏎     Everyone has an opinion.
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,true,Sessions,Sessions,    Common denominator. ⏎ >>> Why did Sessions pick RR? ⏎     Everyone has an opinion.
14|namedEntities|1319|1324,14,namedEntities,1319,1324,true,Trump,Trump,    What is Mueller's background? Military? ⏎ >>> Was Trump asked to run for President w/ assurances made to prevent tampering? ⏎     How is POTUS always 5-steps ahead?
1445|namedEntities|123|125,1445,namedEntities,123,125,false,Mexico,MX,    Trace to Import/Export. ⏎ >>> Trace from China/MX to Long Beach. ⏎     Trace sale/spin off of Co.
1556|namedEntities|195|202,1556,namedEntities,195,202,false,Bill Clinton,Clinton,    Look close (behind BC). ⏎ >>> Trusted by Clinton’s. ⏎     Running for CA Gov?
