Theme anchor,Post,The text,What else covers it
- THE ANCHORS THAT DO THIS MOST -,,,
WWG1WGA,166 spans,,
MSM,132 spans,,
FAKE NEWS,124 spans,,
FISA,116 spans,,
God bless,113 spans,,
DECLAS,72 spans,,
Central Bank,70 spans,,
Anons,66 spans,,
impeachment,40 spans,,
COVID,37 spans,,
GOD BLESS,33 spans,,
Anon,31 spans,,
IG report,26 spans,,
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",25 spans,,
armor of God,22 spans,,
THE GREAT AWAKENING,21 spans,,
The Great Awakening,21 spans,,
IMPEACH,20 spans,,
Armor of God,18 spans,,
Censorship,17 spans,,
censorship,16 spans,,
administration,16 spans,,
Baker,16 spans,,
Impeachment,16 spans,,
Fake News,15 spans,,
No Such Agency,15 spans,,
"Godspeed, Patriot.",15 spans,,
FVEY,15 spans,,
"Godspeed, Patriots.",15 spans,,
indictments,14 spans,,
,,,
- EVERY SPAN -,,,
extradition,1,extradition,claim
riots,1,riots,prediction
These people worship Satan _ some openly show it.,10,These people worship ,claim
These people worship Satan _ some openly show it.,10,Satan,namedEntity+claim
These people worship Satan _ some openly show it.,10, _ some openly show it.,claim
Satan.,100,Satan,namedEntity
MSM,1008,MSM,claim
investigation into,1008,investigation into,question
investigation into,1008,investigation into,question
investigation into,1008,investigation into,question
VACCINES,1010,VACCINES,claim
pray for,1012,pray for,claim
Godspeed.,102,Godspeed.,request
List the estimated wealth of religious organizations.,1021,List the estimated wealth of religious organizations.,question+request
WWG1WGA,1025,WWG1WGA,request
God bless,1025,God,request+namedEntity
God bless,1025, bless,request
Pray.,1027,Pray.,request
Thank you for your prayers.,1029,Thank you for your prayers.,request
Godspeed.,103,Godspeed.,request
Pray.,1030,Pray.,request
God bless,104,God,request+namedEntity
God bless,104, bless,request
MSM,1044,MSM,claim
Connect via past religious leaders (re: Hussein).,1048,Connect via past religious leaders (re: ,request
Connect via past religious leaders (re: Hussein).,1048,Hussein,request+namedEntity
Connect via past religious leaders (re: Hussein).,1048,).,request
Please pray.,105,Please pray.,request
God bless,106,God,request+namedEntity
God bless,106, bless,request
Pray.,1068,Pray.,request
May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.,107,May ,request
May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.,107,God,request+namedEntity
May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.,107, also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst,request
anon,1070,anon,claim
Fake News,1074,Fake News,claim
MSM,1075,MSM,claim
Anon,108,Anon,claim
MSM,1085,MSM,question
Amen,109,Amen,claim
God bless,1093,God,request+namedEntity
God bless,1093, bless,request
Military Intelligence,11,Military Intelligence,namedEntity+claim
MSM,110,MSM,namedEntity
Who is arranging the PRIVATE meetings?,1100,Who is arranging the PRIVATE meetings?,question
censorship,1100,censorship,claim
CENSORING,1102,CENSORING,claim
algorithm,1104,algorithm,claim
administration,1129,administration,url
administration,1129,administration,claim+url
MSM,113,MSM,namedEntity
God save us all.,114,God,request+namedEntity
God save us all.,114, save ,request
God save us all.,114,us,request+namedEntity
God save us all.,114, all.,request
Supreme Court,1148,Supreme Court,namedEntity+claim
Supreme Court,1153,Supreme Court,namedEntity+claim
Supreme Court,1155,Supreme Court,request+namedEntity
Supreme Court,1161,Supreme Court,namedEntity+claim
Five Eyes,1164,Five Eyes,request+namedEntity
Five Eyes,1164,Five Eyes,namedEntity+claim
What church did BO attend as pre-POTUS?,117,What church did ,question
What church did BO attend as pre-POTUS?,117,BO,question+namedEntity
What church did BO attend as pre-POTUS?,117, attend as pre-,question
What church did BO attend as pre-POTUS?,117,POTUS,question+namedEntity
What church did BO attend as pre-POTUS?,117,?,question
FOIA,117,FOIA,question
money laundering,117,money laundering,question
God Bless,1171,God,namedEntity
Good vs Evil,1176,Good vs Evil,claim
MSM,1179,MSM,question
human trafficking,118,human trafficking,question
money laundering,118,money laundering,question
MSM,118,MSM,question
WWG1WGA,1183,WWG1WGA,claim
slush fund,119,slush fund,question
MSM,120,MSM,question
MSM,120,MSM,question
MSM,120,MSM,question
MSM,120,MSM,question
unmask,120,unmask,question
declassify_speech_Jap_11_5,121,declassify_speech_Jap_11_5,claim
God save us.,121,God,request+namedEntity
God save us.,121, save ,request
God save us.,121,us,request+namedEntity
God save us.,121,.,request
FAKE NEWS,1218,FAKE NEWS,request
Pray.,122,Pray.,request
talking points,1221,talking points,question
WWG1WGA,1227,WWG1WGA,request
The process of settlement is a ‘Civilization-Jihadist Process’ with all the word means.,1237,The process of settlement is a ‘Civilization-Jihadist Process’ with all the word means.,claim
kickback,1241,kickback,question+request
slush fund,1241,slush fund,question+request
protests,1242,protests,url
WWG1WGA,1245,WWG1WGA,request
activist,1252,activist,question
MSM,1252,MSM,claim
No Such Agency,1266,No Such Agency,namedEntity
WWG1WGA,1266,WWG1WGA,request
MSM,1269,MSM,question
censoring,1269,censoring,question
THE GREAT AWAKENING,1269,THE GREAT AWAKENING,claim
special counsel,1273,special counsel,question
voter fraud,1286,voter fraud,claim
impeached,1287,impeached,question
indicted,1287,indicted,question
Baker,1288,Baker,namedEntity+claim
"Godspeed, Patriot.",1291,"Godspeed, ",request
"Godspeed, Patriot.",1291,Patriot,request+namedEntity
"Godspeed, Patriot.",1291,.,request
"Godspeed, Patriot(s).",1294,"Godspeed, ",request
"Godspeed, Patriot(s).",1294,Patriot,request+namedEntity
"Godspeed, Patriot(s).",1294,(s).,request
God bless,1295,God,request+namedEntity
God bless,1295, bless,request
Bakers,1296,Bakers,request+namedEntity
WWG1WGA,1297,WWG1WGA,request
God bless,13,God,namedEntity+claim
God bless,13, bless,claim
deCLAS,1307,deCLAS,claim
Baker,1316,Baker,namedEntity+claim
National Security,1316,National Security,claim
National Security,1316,National Security,claim
FAKE NEWS,1316,FAKE NEWS,question
grand jury,1318,grand jury,question+namedEntity
Impeachment,1318,Impeachment,question
MSM,1319,MSM,request
WWG1WGA,1319,WWG1WGA,request
sanctions,1320,sanctions,prediction
impeachment,1320,impeachment,claim
qresearch,1323,qresearch,claim
WWG1WGA,1328,WWG1WGA,request
Does Satan exist?,133,Does ,question
Does Satan exist?,133,Satan,question+namedEntity
Does Satan exist?,133, exist?,question
Epstein island,133,Epstein,namedEntity
Epstein island,133, island,namedEntity
WWG1WGA,1332,WWG1WGA,request
FVEY,1336,FVEY,namedEntity
FVEY,1336,FVEY,namedEntity+claim
algorithm,1337,algorithm,bracketCode
WWG1WGA,1343,WWG1WGA,request
bribe,1345,bribe,question+request
bribe,1345,bribe,question+request
Anons,1347,Anons,claim
"Godspeed, Patriot.",1349,"Godspeed, ",request
"Godspeed, Patriot.",1349,Patriot,request+namedEntity
"Godspeed, Patriot.",1349,.,request
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
Central Bank,135,Central Bank,namedEntity
God bless,1350,God,namedEntity
indictments,1351,indictments,claim
indictments,1351,indictments,question
Anon,1353,Anon,claim
God bless,1358,God,request+namedEntity
God bless,1358, bless,request
Fake News,1359,Fake News,claim
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
Central Bank,136,Central Bank,namedEntity
