19	70 76 140 158 310	The Great Awakening.
19	474 543 572 1269 2541	THE GREAT AWAKENING.
16	134 854 997 1343 1443	Dark to LIGHT.
14	830 833 838 878 954	BOOM.
14	3282 3284 3285 3287 3291	LOVE OF COUNTRY!
14	3603 3610 3614 3668 3705	Information warfare.
14	3608 3958 3996 4373 4499	INFORMATION WARFARE.
12	2639 2639 2639 2641 2641	FAKE!
9	326 437 438 491 666	JUSTICE.
9	2849 2982 3077 3201 3742	ENEMY OF THE PEOPLE.
8	1339 1343 1375 1577 1585	TOGETHER.
8	1602 1797 1926 1936 2128	SHEEP NO MORE.
7	679 2296 2297 2327 2333	RED OCTOBER.
7	1464 1955 2538 2681 2684	Dark to Light.
7	1883 2126 2298 2431 2440	WE STAND TOGETHER.
6	268 529 636 2089 2500	FAKE NEWS.
6	1458 2264 2275 3311 3429	PANIC.
6	3644 4112 4333 4345 4526	Information Warfare.
5	946 2668 2668 2668 2668	BOOM!
5	1372 1546 1546 1546 1573	PAIN.
5	1440 1646 2173 2635 3014	DARK TO LIGHT.
5	1644 2683 3441 3662 3684	Sheep no more.
4	285 333 936 1343	FREEDOM.
4	325 437 438 1443	EVIL.
4	564 786 1005 2568	NO DEALS.
4	632 997 1489 1831	TRUTH.
4	767 2178 2329 4627	UNITED WE STAND.
4	2033 2034 2258 3604	LIKE CLOCKWORK.
4	2566 3276 3286 4880	UNITED NOT DIVIDED.
4	2743 3520 3628 4428	Enemy of the People.
4	4158 4196 4373 4832	INSURGENCY.
4	4158 4196 4373 4832	IRREGULAR WARFARE.
3	119 1002 1010	MONEY.
3	194 195 199	THE SUM OF ALL FEARS.
3	415 3931 4558	We stand together.
3	437 438 817	STUPID.
3	466 953 1008	AMERICA FOR SALE.
3	483 584 2843	FEAR.
3	559 560 572	THE SHOT HEARD AROUND THE WORLD.
3	572 1440 3434	A WEEK TO REMEMBER.
3	632 813 1010	SHEEP.
3	1002 1010 4645	POWER.
3	1439 4517 4593	UNITY NOT DIVISION.
3	1711 1745 1807	LOGICAL THINKING.
3	2082 2116 2255	CLOCKWORK.
3	4154 4158 4235	SHADOW PRESIDENCY.
3	4158 4235 4832	SHADOW GOVERNMENT.
3	4196 4314 4315	THE SHADOW PRESIDENCY.
3	4310 4627 4823	ALL ASSETS DEPLOYED.
2	325 3132	NAT SEC.
2	365 432	SPLASH.
2	365 432	FOX THREE.
2	491 4629	CORRUPT.
2	491 520	DEATH.
2	501 3907	FOR GOD & COUNTRY.
2	519 1874	SEC TEST.
2	571 959	NOBODY.
2	609 792	CONFIRMED.
2	646 666	APACHE.
2	658 659	FREEDOM DAY.
2	718 1307	SICK!
2	786 2568	NO ESCAPE.
2	804 826	COMMS GOOD.
2	953 3774	TRAITORS EVERYWHERE.
2	964 964	NATIONAL SECURITY.
2	1007 1008	APRIL SHOWERS.
2	1102 1105	GLOBAL.
2	1646 2234	POWER TO THE PEOPLE.
2	1702 1824	AMERICA FIRST.
2	1745 2261	FISA BRINGS DOWN THE HOUSE.
2	1862 2534	FAKE NEWS = ENEMY OF THE PEOPLE.
2	1937 2088	WITCH HUNT.
2	2054 4010	NOW, THEREFORE, I, DONALD J.
2	2119 3041	WE STAND TOGETHER AS PATRIOTS.
2	2119 4559	HOME OF THE BRAVE.
2	2144 2165	HOOAH!
2	2207 3872	GAME OVER.
2	2351 2700	FACTS MATTER.
2	2500 3300	PATRIOTS UNITED.
2	2602 4771	OVER THE TARGET.
2	2650 2658	POWER OF THE PURSE.
2	2865 3028	THE TRUTH WILL ALWAYS WIN.
2	2874 3623	DRAINING THE SWAMP.
2	3038 3906	The Great Awakening ('Freedom of Thought�), was designed and created not only as a backchannel to the public (away from the longstanding �mind� control of the corrupt & heavily biased media) to endure future events through transparency and regeneration of individual thought (breaking the chains of �group-think�), but, more importantly, aid in the construction of a vehicle (a �ship�) that provides the scattered (�free thinkers�) with a �starter� new social-networking platform which allows for freedom of thought, expression, and patriotism or national pride (the feeling of love, devotion and sense of attachment to a homeland and alliance with other citizens who share the same sentiment).
2	3045 3473	TREASON.
2	3290 3300	LOVE OF COUNTRY.
2	3472 3473	2019 - YEAR OF THE BOOMERANG.
2	4295 4379	UNITY CREATES PEACE.
1	144	GERONIMO.
1	258	RED CROSS RED RED.
1	259	RED RED 9/11.
1	267	FLY HIGH.
1	281	MAGA.
1	365	SHUTDOWN.
1	373	CAP_H(9).
1	373	MAVERICK.
1	380	NAT G.
1	389	HEIDI FLEISS (EVIL/CLOWN/BLACKMAIL).
1	432	MISSILE.
1	432	MISSLE.
1	436	PUBLIC/NARRATIVE.
1	436	STAGE SET FUTURE PREVENT/REMOVAL OP.
1	491	BROKEN.
1	491	TRAITORS!!!
1	491	JAIL.
1	520	NO OTHER VEHICLE TO REGAIN ENTRY.
1	520	EVERYWHERE.
1	520	PATIENCE.
1	520	TREASON AT HIGHEST LEVELS.
1	520	FOREIGN AGENTS WITHIN OUR GOV'T.
1	520	HIGHEST LEVELS.
1	520	STRINGS CUT.
1	520	THE HUNT CONTINUES.
1	520	PRISON.
1	521	[SCARE] NECESSARY EVENT.
1	521	PATRIOTS DAY.
1	523	CHECKMATE.
1	524	���.ON��AND��.>ON��.
1	527	PUBLIC.
1	528	PROMISE.
1	529	D LOST SLAVE GRIP.
1	529	D LOST CENTER VOTERS.
1	529	MSM PROJECTS AS BIG MOVEMENT.
1	529	4-6% LOST FOREVER.
1	532	MEMES/POSTS.
1	532	MAKING AMERICA GREAT AGAIN!
1	533	NO MORE.
1	534	WILL GUIDE.
1	537	NO SUCH AGENCY - VITAL.
1	537	RAW INTEL - VITAL.
1	537	US MIL - VITAL.
1	537	SAFE COMMS - VITAL.
1	537	MESSAGE - VITAL.
1	540	WHAT A BIG NEWS DAY.
1	541	[8] FIRED.
1	541	[X] JAILED.
1	541	++ / + TICK TOCK.
1	558	STATE_OF_THE_UNION.
1	563	BUILDING THE ARMY.
1	563	FOR GOD & COUNTRY - LEARN!
1	587	PREY.
1	607	VERY VERY VERY IMPORTANT.
1	626	FAKE>REAL.
1	626	BLIND>20/20.
1	626	KILL_CHAIN.
1	629	SPOOKY.
1	632	REVOLUTION.
1	636	MUELLER FAKE NEWS.
1	653	CRASH.
1	659	LIGHT.
1	666	OUTRAGE.
1	668	LEAKS.
1	668	CLASSIFIED.
1	668	PAYMENTS.
1	668	FOREIGN ACCOUNTS.
1	668	CASH.
1	668	SPOOK FILES.
1	668	HOTELS.
1	668	BLACKMAIL.
1	679	SO MUCH!
1	722	RED_OCTOBER.
1	758	SEPT 7, 1776.
1	779	CORRUPTION/INFILTRATION/SLUSH FUND.
1	790	NOT RUSSIA.
1	792	GOOD.
1	794	HIGHEST AUTHORITY.
1	804	DELTA [6] CONF.
1	804	OPERATIONAL.
1	813	SLAVE.
1	813	DISTRACTION.
1	833	MIND WARFARE.
1	834	BRIDGE-2.
1	839	FAKE.
1	840	THREAT.
1	854	WEAK.
1	884	NO DEALS!
1	937	GLIMPSE.
1	937	PATRIOTS UNITE.
1	945	BOOOOOM!
1	947	BOOM!!!!!!!!!!!!
1	952	HOSTAGE RELEASE.
1	953	BIG DEVELOPMENT.
1	953	CLEARED OF ALL CHARGES.
1	953	BIGGEST FEAR.
1	953	PUBLIC AWAKENING.
1	963	RED_CASTLE.
1	963	GREEN_CASTLE.
1	964	LAST STAND.
1	964	BIDEN/CHINA VERY IMPORTANT MARKER.
1	964	IRAN NEXT.
1	964	$700B - MILITARY [THIS YEAR].
1	964	TIDAL WAVE INCOMING.
1	965	OFFLINE FOR A REASON.
1	967	POOF!
1	967	FF / DISTRACTIONS.
1	969	NO POWER.
1	972	GOOG WW.
1	972	AMAZON WW.
1	972	TWITTER WW.
1	992	UNITY.
1	992	AWAKENING.
1	1002	INFLUENCE.
1	1006	ROGUE_FAILURE.
