18	25 33 44 55 70	God bless.
6	141 457 1093 1295 1358	God bless you all.
5	323 473 2857 3950 4530	God bless each and every one of you.
4	414 2235 2355 2529	God bless, Patriot.
4	603 837 2039 2788	GOD BLESS YOU ALL.
4	1646 2436 3907 4387	GOD BLESS AMERICA.
3	3 96 264	God bless, Patriots.
2	2314 4276	God bless you and your family.
2	3683 4923	God bless you.
1	2	God bless fellow Patriots.
1	15	Good speed, Patriots.
1	35	God bless my fellow Americans.
1	64	God bless - I must go for good at this point.
1	69	God speed to those who will be put in harms way.
1	102	Godspeed.
1	104	God bless the United States of America.
1	107	May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.
1	154	Our Father who art in heaven, Hallowed be thy name.
1	154	Thy will be done on earth as it is in heaven.
1	481	GOD BLESS.
1	488	God bless Patriots.
1	490	God bless each and every Patriot in the world.
1	533	GOD BLESS YOU AND GOD BLESS THE UNITED STATES OF AMERICA.
1	856	God bless our brave men & women in uniform.
1	1350	God bless our brave fighting men & women.
1	1401	God Bless the United States of America.
1	1646	GOD BLESS PATRIOTS AROUND THE WORLD.
1	1691	God bless Patriots!
1	1783	God bless!
1	1961	GOD BLESS YOU & YOUR FAMILY.
1	2312	God bless you, Patriot.
1	2393	God bless you, Patriots!
1	2807	GOD BLESS THE UNITED STATES OF AMERICA.
1	3503	God bless and thank you.
1	4608	God Bless America.
