occurrenceKey,postNum,kind,start,end,rowCount,identitiesClaimed,metadataCompatibility,automatic,textA,textB,context
1009|namedEntities|303|305,1009,namedEntities,303,305,2,AZ | Arizona,CONFLICTING_METADATA,false,AZ,AZ,
1010|namedEntities|504|507,1010,namedEntities,504,507,2,GER | Germany,CONFLICTING_METADATA,false,GER,GER,
111|namedEntities|1073|1077,111,namedEntities,1073,1077,5,Huma,IDENTICAL_METADATA,true,Huma,Huma,
111|namedEntities|1073|1077,111,namedEntities,1073,1077,5,Huma,IDENTICAL_METADATA,true,Huma,Huma,
111|namedEntities|1073|1077,111,namedEntities,1073,1077,5,Huma,IDENTICAL_METADATA,true,Huma,Huma,
111|namedEntities|1073|1077,111,namedEntities,1073,1077,5,Huma,IDENTICAL_METADATA,true,Huma,Huma,
1195|namedEntities|29|34,1195,namedEntities,29,34,2,MS-13 | MS_13,CONFLICTING_METADATA,false,MS_13,MS_13,
1220|namedEntities|104|108,1220,namedEntities,104,108,2,CHAI | Clinton Health Access Initiative,CONFLICTING_METADATA,false,CHAI,CHAI,
1235|namedEntities|145|149,1235,namedEntities,145,149,2,Huma,IDENTICAL_METADATA,true,Huma,Huma,
1265|namedEntities|155|160,1265,namedEntities,155,160,2,Flynn,IDENTICAL_METADATA,true,Flynn,Flynn,
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,5,Sessions,IDENTICAL_METADATA,true,Sessions,Sessions,
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,5,Sessions,IDENTICAL_METADATA,true,Sessions,Sessions,
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,5,Sessions,IDENTICAL_METADATA,true,Sessions,Sessions,
1318|namedEntities|1067|1075,1318,namedEntities,1067,1075,5,Sessions,IDENTICAL_METADATA,true,Sessions,Sessions,
14|namedEntities|1319|1324,14,namedEntities,1319,1324,2,Trump,IDENTICAL_METADATA,true,Trump,Trump,
1445|namedEntities|123|125,1445,namedEntities,123,125,2,MX | Mexico,CONFLICTING_METADATA,false,MX,MX,
1556|namedEntities|195|202,1556,namedEntities,195,202,2,Bill Clinton | Clinton,CONFLICTING_METADATA,false,Clinton,Clinton,
1700|directives|317|625,1700,directives,317,625,2,"Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn that mankind are more disposed to suffer, while evils are sufferable than to right themselves by abolishing the forms to which they are accustomed.",IDENTICAL_METADATA,true,"Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn that mankind are more disposed to suffer, while evils are sufferable than to right themselves by abolishing the forms to which they are accustomed.","Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn that mankind are more disposed to suffer, while evils are sufferable than to right themselves by abolishing the forms to which they are accustomed.",
1745|namedEntities|322|325,1745,namedEntities,322,325,2,MI6 | SIS,CONFLICTING_METADATA,false,SIS,SIS,
1796|namedEntities|343|350,1796,namedEntities,343,350,2,Twitter,IDENTICAL_METADATA,true,Twitter,Twitter,
1824|namedEntities|326|333,1824,namedEntities,326,333,3,America,IDENTICAL_METADATA,true,America,America,
1824|namedEntities|326|333,1824,namedEntities,326,333,3,America,IDENTICAL_METADATA,true,America,America,
1828|namedEntities|784|786,1828,namedEntities,784,786,2,JC,IDENTICAL_METADATA,true,JC,JC,
1830|namedEntities|0|22,1830,namedEntities,0,22,2,Clinton Foundation | THE CLINTON FOUNDATION,CONFLICTING_METADATA,false,THE CLINTON FOUNDATION,THE CLINTON FOUNDATION,
1833|namedEntities|129|131,1833,namedEntities,129,131,2,NY | New York,CONFLICTING_METADATA,false,NY,NY,
1870|namedEntities|25|27,1870,namedEntities,25,27,2,WL | WikiLeaks,CONFLICTING_METADATA,false,WL,WL,
1876|namedEntities|0|5,1876,namedEntities,0,5,2,GMAIL | Gmail,CONFLICTING_METADATA,false,GMAIL,GMAIL,
1887|namedEntities|682|689,1887,namedEntities,682,689,2,Hussein,IDENTICAL_METADATA,true,Hussein,Hussein,
1935|namedEntities|409|414,1935,namedEntities,409,414,3,Putin,IDENTICAL_METADATA,true,Putin,Putin,
1935|namedEntities|409|414,1935,namedEntities,409,414,3,Putin,IDENTICAL_METADATA,true,Putin,Putin,
194|namedEntities|86|90,194,namedEntities,86,90,2,Iran,IDENTICAL_METADATA,true,Iran,Iran,
1948|namedEntities|1473|1477,1948,namedEntities,1473,1477,2,Iran,IDENTICAL_METADATA,true,Iran,Iran,
195|namedEntities|86|90,195,namedEntities,86,90,2,Iran,IDENTICAL_METADATA,true,Iran,Iran,
199|namedEntities|130|134,199,namedEntities,130,134,2,Iran,IDENTICAL_METADATA,true,Iran,Iran,
2037|namedEntities|657|659,2037,namedEntities,657,659,2,NY | New York,CONFLICTING_METADATA,false,NY,NY,
2165|namedEntities|449|451,2165,namedEntities,449,451,2,SC | Sara Carter,CONFLICTING_METADATA,false,SC,SC,
2215|emphasis|24|35,2215,emphasis,24,35,2,PANIC IN UK,IDENTICAL_METADATA,true,PANIC IN UK,PANIC IN UK,
2215|emphasis|36|47,2215,emphasis,36,47,2,PANIC IN DC,IDENTICAL_METADATA,true,PANIC IN DC,PANIC IN DC,
2378|namedEntities|379|384,2378,namedEntities,379,384,3,China,IDENTICAL_METADATA,true,China,China,
2378|namedEntities|379|384,2378,namedEntities,379,384,3,China,IDENTICAL_METADATA,true,China,China,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2381|namedEntities|2570|2577,2381,namedEntities,2570,2577,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
2397|namedEntities|701|708,2397,namedEntities,701,708,11,Mueller,IDENTICAL_METADATA,true,Mueller,Mueller,
