Problem,Post,Sentence #,Sheet,Your text,What the drop says,What I did
Sentence was cut at an abbreviation,1944,24,Q Claims,'Foreign' tangent req to obtain warrant to spy on U.S.,,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,1944,24,Q Claims,'Foreign' tangent req to obtain warrant to spy on U.S.,'Foreign' tangent req to obtain warrant to spy on U.S. ORIG?,The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Sentence was cut at an abbreviation,2211,11,Q Claims,Federal prosecutor in N.,,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,2211,11,Q Claims,Federal prosecutor in N.,Federal prosecutor in N. District of NY [background] important?,The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Sentence was cut at an abbreviation,4782,15,Q Claims,FUNDS: EXPENSES V.,,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,4782,15,Q Claims,FUNDS: EXPENSES V.,FUNDS: EXPENSES V. PAYOUTS [for 'causes'] _analyze % [how much of the actual donated money actually goes to help select 'causes']?,The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Sentence was cut at an abbreviation,4888,2,Q Claims,Subpoena of all H.,,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,4888,2,Q Claims,Subpoena of all H.,Subpoena of all H. Biden's financial records?,The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Your text and the drop do not match,1443,3,Q Claims,DECLAS_Public,DECLAS_Public[3],The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Sentence was cut at an abbreviation,3049,2,Q Claims,"If [D's] FIGHT to protect, safeguard, and promote all illegal immigrants as 'rightful' U.S. citizens who should be afforded all benefits and rights accordingly, WHY THEN WOULD THEY FIGHT TO BLOCK THEM FROM BEING 'COUNTED' AS PART OF THE U.S.",,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,3049,2,Q Claims,"If [D's] FIGHT to protect, safeguard, and promote all illegal immigrants as 'rightful' U.S. citizens who should be afforded all benefits and rights accordingly, WHY THEN WOULD THEY FIGHT TO BLOCK THEM FROM BEING 'COUNTED' AS PART OF THE U.S.","If [D's] FIGHT to protect, safeguard, and promote all illegal immigrants as 'rightful' U.S. citizens who should be afforded all benefits and rights accordingly, WHY THEN WOULD THEY FIGHT TO BLOCK THEM FROM BEING 'COUNTED' AS PART OF THE U.S. CENSUS?",The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Sentence was cut at an abbreviation,1915,6,Q Claims,Same day as the targeted [coordinated] attack v.,,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,1915,6,Q Claims,Same day as the targeted [coordinated] attack v.,Same day as the targeted [coordinated] attack v. POTUS?,The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Sentence was cut at an abbreviation,4871,1,Q Claims,NAT SEC concerns re: blackmail [gain control] of J.,,"The sentence splitter cut this span at an abbreviation (""Mr."", ""U.S."", ""H. Biden""). The archive already records the repair, so the ruling was applied to the WHOLE sentence rather than the half."
Your text and the drop do not match,4871,1,Q Claims,NAT SEC concerns re: blackmail [gain control] of J.,"NAT SEC concerns re: blackmail [gain control] of J. Biden by Russia, China and/or other foreign [or domestic] entities?",The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
One-character entity,3354,4,Q Entities,H,,"A one-character entity. Applied, and flagged because a single letter matches a lot of text — the word-boundary rule is what keeps it to ""(H)""."
Text is not in that drop — REFUSED,4541,4,Q Entities,Mr. Russia,,REFUSED. This text is not in the drop the row names.
Sentence # was blank,3905,,Q Brackets,[If majority of people believe ‘x’ then ‘x’ must be validated / true],,"The Sentence # cell was empty. Recovered from the text, which matched exactly one line in that drop."
Your text and the drop do not match,1443,3,Q Predictions,DECLAS_Public,DECLAS_Public[3],The workbook cell and the drop do not say the same thing. Q's wording was used — the archive never stores a retyped version of what Q wrote — and the drop's text is in the next column.
Address typed with a space after https://,676,1,URL,https:// www.fbi.gov/about/leadership-and-structure/fbi-executives/carl-ghattas,https:// www.fbi.gov/about/leadership-and-structure/fbi-executives/carl-ghattas,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,709,2,URL,https:// www.cia.gov/kids-page/games/break-the-code/code-1.html,https:// www.cia.gov/kids-page/games/break-the-code/code-1.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,715,1,URL,[3] https:// www.globaleaks.org,[3] https:// www.globaleaks.org,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,716,1,URL,https:// www.google.com/amp/s/www.wired.com/2010/07/exclusive-google-cia/amp/,https:// www.google.com/amp/s/www.wired.com/2010/07/exclusive-google-cia/amp/,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,805,1,URL,https:// www.archives.gov/files/research/jfk/releases/docid-32403785.pdf https:// www.intelligence.senate.gov/sites/default/files/hearings/ciasuseofjournal00unit.pdf,https:// www.archives.gov/files/research/jfk/releases/docid-32403785.pdf https:// www.intelligence.senate.gov/sites/default/files/hearings/ciasuseofjournal00unit.pdf,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,816,13,URL,http:// www.courant.com/news/connecticut/hc-sandy-hook-shooting-two-years-later-20141214-story.html,http:// www.courant.com/news/connecticut/hc-sandy-hook-shooting-two-years-later-20141214-story.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,850,5,URL,https:// www.cia.gov/library/readingroom/docs/CIA-RDP80-00810A004000690005-7.pdf,https:// www.cia.gov/library/readingroom/docs/CIA-RDP80-00810A004000690005-7.pdf,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,851,2,URL,https:// www.cia.gov/library/readingroom/docs/CIA-RDP90-00845R000100170004-5.pdf,https:// www.cia.gov/library/readingroom/docs/CIA-RDP90-00845R000100170004-5.pdf,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,960,1,URL,http:// www.cc.com/episodes/drc1ue/the-opposition-with-jordan-klepper-march-20–2018—of-montreal-season-1-ep-1080,http:// www.cc.com/episodes/drc1ue/the-opposition-with-jordan-klepper-march-20–2018—of-montreal-season-1-ep-1080,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,972,1,URL,http:// www.foxnews.com/politics/2018/03/28/doj-inspector-general-investigates-alleged-fisa-abuses-by-doj-fbi.html,http:// www.foxnews.com/politics/2018/03/28/doj-inspector-general-investigates-alleged-fisa-abuses-by-doj-fbi.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,972,29,URL,http:// www.foxnews.com/us/2018/03/27/nxivm-cult-leader-coerced-women-into-sex-branded-initials-on-his-slaves-authorities-say.html,http:// www.foxnews.com/us/2018/03/27/nxivm-cult-leader-coerced-women-into-sex-branded-initials-on-his-slaves-authorities-say.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,976,1,URL,http:// www.foxnews.com/politics/2018/03/28/documents-suggest-possible-coordination-between-cia-fbi-obama-wh-and-dem-officials-early-in-trump-russia-probe-investigators.html,http:// www.foxnews.com/politics/2018/03/28/documents-suggest-possible-coordination-between-cia-fbi-obama-wh-and-dem-officials-early-in-trump-russia-probe-investigators.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,982,1,URL,https:// www.nationalreview.com/2018/03/russia-collusion-real-story-hillary-clinton-dnc-fbi-media/,https:// www.nationalreview.com/2018/03/russia-collusion-real-story-hillary-clinton-dnc-fbi-media/,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,986,1,URL,http:// www.breitbart.com/big-government/2018/03/31/turley-sessions-using-utah-federal-prosecutor-much-better-trump-2nd-special-counsel/,http:// www.breitbart.com/big-government/2018/03/31/turley-sessions-using-utah-federal-prosecutor-much-better-trump-2nd-special-counsel/,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,987,2,URL,https:// www.justice.gov/usam/usam-1-7000-media-relations,https:// www.justice.gov/usam/usam-1-7000-media-relations,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1005,2,URL,https:// www.youtube.com/watch?v=xW2ijF2ya1c,https:// www.youtube.com/watch?v=xW2ijF2ya1c,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1039,1,URL,https:// www.nytimes.com/2018/04/06/opinion/qanon-trump-conspiracy-theory.html,https:// www.nytimes.com/2018/04/06/opinion/qanon-trump-conspiracy-theory.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1041,1,URL,http:// www.foxnews.com/us/2018/04/06/disturbing-string-aircraft-crashes-in-2018-continues-deadly-trend-for-us-military.html,http:// www.foxnews.com/us/2018/04/06/disturbing-string-aircraft-crashes-in-2018-continues-deadly-trend-for-us-military.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1061,2,URL,https:// www.cnn.com/2018/03/31/politics/roseanne-barr-conspiracy-tweets/index.html,https:// www.cnn.com/2018/03/31/politics/roseanne-barr-conspiracy-tweets/index.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1065,1,URL,https:// www.instagram.com/p/b7-nofzf6_/?hl=en&taken-by=ray.chandler,https:// www.instagram.com/p/b7-nofzf6_/?hl=en&taken-by=ray.chandler,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1074,1,URL,https:// www.cnn.com/2018/04/06/politics/joseph-schmitz-trump-adviser-clinton-emails/index.html,https:// www.cnn.com/2018/04/06/politics/joseph-schmitz-trump-adviser-clinton-emails/index.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1083,2,URL,https:// www.cia.gov/library/readingroom/docs/DOC_0006687262.pdf,https:// www.cia.gov/library/readingroom/docs/DOC_0006687262.pdf,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1085,1,URL,https:// www.wsj.com/articles/north-korea-ready-to-discuss-denuclearization-u-s-officials-say-1523213724,https:// www.wsj.com/articles/north-korea-ready-to-discuss-denuclearization-u-s-officials-say-1523213724,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1091,1,URL,https:// www.politico.com/blogs/laurarozen/1209/Report_Blackwater_CEO_Eric_Prince_was_CIA_asset.html,https:// www.politico.com/blogs/laurarozen/1209/Report_Blackwater_CEO_Eric_Prince_was_CIA_asset.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
Address typed with a space after https://,1115,3,URL,https:// www.nytimes.com/2018/04/07/nyregion/trump-tower-fire.html,https:// www.nytimes.com/2018/04/07/nyregion/trump-tower-fire.html,"Q typed a space after the scheme — ""https:// wikileaks.org/…"". FIXED: the whole address is one link again, and the href drops the space. The link text still shows exactly what Q typed."
