actionId,kind,postNum,sentenceId,sourceDisposition,sentenceStart,sentenceEnd,sentenceText,populationMembership,oldOccurrenceKeys,oldCategories,proposedPrimaryCategory,proposedSecondarySemantics,proposedReviewDispositions,recordsWithdrawn,withdrawReason,metadataTransferred,relationshipsPreserved,ruleCode,confidence,humanReviewRequired,beforeCountEffect,afterCountEffect
A-MP-p1432-s002,MULTI_PRIMARY_RESOLUTION,1432,p1432-s002,q_authored,147,347,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1432|claims|151|346 1432|directives|147|347,claims@151..346[PARTIAL] directives@147..347[EXACT],directive,claim,,1432|claims|151|346,partial span superseded by the complete sentence,1432|claims|151|346 1432|directives|147|347,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p1445-s006,MULTI_PRIMARY_RESOLUTION,1445,p1445-s006,q_authored,141,167,Trace sale/spin off of Co.,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1445|claims|141|166 1445|directives|141|167,claims@141..166[PARTIAL] directives@141..167[EXACT],directive,claim,,1445|claims|141|166,partial span superseded by the complete sentence,1445|claims|141|166 1445|directives|141|167,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p0016-s000,MULTI_PRIMARY_RESOLUTION,16,p0016-s000,q_authored,0,68,"Get the popcorn, Friday & Saturday will deliver on the MAGA promise.",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,16|predictions|17|68 16|directives|0|68,predictions@17..68[PARTIAL] directives@0..68[EXACT],prediction,directive,,16|predictions|17|68,partial span superseded by the complete sentence,16|predictions|17|68 16|directives|0|68,,R3_FUTURE_ASSERTION,MEDIUM,false,predictions:-1 directives:-1,prediction:+1 primary · directive:+1 secondary
A-MP-p1824-s000,MULTI_PRIMARY_RESOLUTION,1824,p1824-s000,q_authored,0,265,"Ask yourself, if the U.S. GDP is greater than the total of all others  combined (G7), which allows us to negotiate from a position of strength, why would previous President's 'knowingly' [unequally] distribute America's wealth away by making unbalanced trade deals?",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1824|claims|17|84 1824|directives|0|265 1824|questions|26|265,claims@17..84[PARTIAL] directives@0..265[EXACT] questions@26..265[PARTIAL],question,claim directive,,1824|claims|17|84 1824|questions|26|265,partial span superseded by the complete sentence,1824|claims|17|84 1824|directives|0|265 1824|questions|26|265,question_directive,R1_INTERROGATIVE,MEDIUM,false,claims:-1 directives:-1 questions:-1,question:+1 primary · claim:+1 secondary directive:+1 secondary
A-MP-p1915-s011,MULTI_PRIMARY_RESOLUTION,1915,p1915-s011,q_authored,932,987,Same day as the targeted [coordinated] attack v. POTUS?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1915|claims|932|987 1915|questions|981|987,claims@932..987[EXACT] questions@981..987[PARTIAL],question,claim,,1915|questions|981|987,partial span superseded by the complete sentence,1915|claims|932|987 1915|questions|981|987,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p1928-s012,MULTI_PRIMARY_RESOLUTION,1928,p1928-s012,q_authored,439,513,https://vault.fbi.gov/d1-release/d1-release/viewWho is [1 of 4] FIREWALLS?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1928|claims|439|513 1928|questions|503|513,claims@439..513[EXACT] questions@503..513[PARTIAL],question,claim,,1928|questions|503|513,partial span superseded by the complete sentence,1928|claims|439|513 1928|questions|503|513,,R1_INTERROGATIVE,MEDIUM,true,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p1944-s022,MULTI_PRIMARY_RESOLUTION,1944,p1944-s022,q_authored,1185,1245,'Foreign' tangent req to obtain warrant to spy on U.S. ORIG?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1944|claims|1185|1245 1944|questions|1240|1245,claims@1185..1245[EXACT] questions@1240..1245[PARTIAL],question,claim,,1944|questions|1240|1245,partial span superseded by the complete sentence,1944|claims|1185|1245 1944|questions|1240|1245,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p1944-s014,MULTI_PRIMARY_RESOLUTION,1944,p1944-s014,q_authored,,,,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1944|claims|682|719 1944|questions|720|871,claims@682..719[PARTIAL] questions@720..871[PARTIAL],claim,question,,1944|claims|682|719 1944|questions|720|871,partial span superseded by the complete sentence,1944|claims|682|719 1944|questions|720|871,,R4_DECLARATIVE,MEDIUM,true,claims:-1 questions:-1,claim:+1 primary · question:+1 secondary
A-MP-p2072-s013,MULTI_PRIMARY_RESOLUTION,2072,p2072-s013,q_authored,,,,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2072|claims|1474|1612 2072|questions|1610|1614,claims@1474..1612[PARTIAL] questions@1610..1614[PARTIAL],claim,question,,2072|claims|1474|1612 2072|questions|1610|1614,partial span superseded by the complete sentence,2072|claims|1474|1612 2072|questions|1610|1614,,R4_DECLARATIVE,MEDIUM,true,claims:-1 questions:-1,claim:+1 primary · question:+1 secondary
A-MP-p2211-s041,MULTI_PRIMARY_RESOLUTION,2211,p2211-s041,q_authored,,,,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2211|claims|4012|4150 2211|questions|4148|4152,claims@4012..4150[PARTIAL] questions@4148..4152[PARTIAL],claim,question,,2211|claims|4012|4150 2211|questions|4148|4152,partial span superseded by the complete sentence,2211|claims|4012|4150 2211|questions|4148|4152,,R4_DECLARATIVE,MEDIUM,true,claims:-1 questions:-1,claim:+1 primary · question:+1 secondary
A-MP-p2211-s011,MULTI_PRIMARY_RESOLUTION,2211,p2211-s011,q_authored,651,714,Federal prosecutor in N. District of NY [background] important?,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2211|claims|651|714 2211|questions|676|714,claims@651..714[EXACT] questions@676..714[PARTIAL],question,claim,,2211|questions|676|714,partial span superseded by the complete sentence,2211|claims|651|714 2211|questions|676|714,,R1_INTERROGATIVE,MEDIUM,false,claims:-1 questions:-1,question:+1 primary · claim:+1 secondary
A-MP-p2369-s003,MULTI_PRIMARY_RESOLUTION,2369,p2369-s003,q_authored,,,,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,2369|claims|255|316 2369|questions|288|333,claims@255..316[PARTIAL] questions@288..333[PARTIAL],claim,question,,2369|claims|255|316 2369|questions|288|333,partial span superseded by the complete sentence,2369|claims|255|316 2369|questions|288|333,,R4_DECLARATIVE,MEDIUM,true,claims:-1 questions:-1,claim:+1 primary · question:+1 secondary
