actionId,kind,postNum,sentenceId,sourceDisposition,sentenceStart,sentenceEnd,sentenceText,populationMembership,oldOccurrenceKeys,oldCategories,proposedPrimaryCategory,proposedSecondarySemantics,proposedReviewDispositions,recordsWithdrawn,withdrawReason,metadataTransferred,relationshipsPreserved,ruleCode,confidence,humanReviewRequired,beforeCountEffect,afterCountEffect
A-MP-p0001-s002,MULTI_PRIMARY_RESOLUTION,1,p0001-s002,q_authored,177,255,Expect massive riots organized in defiance and others fleeing the US to occur.,MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1|predictions|177|255 1|directives|177|255,predictions@177..255[EXACT] directives@177..255[EXACT],prediction,directive,,,,1|predictions|177|255 1|directives|177|255,,R5_FUTURE_FRAME,MEDIUM,false,predictions:-1 directives:-1,prediction:+1 primary · directive:+1 secondary
A-MP-p1155-s000,MULTI_PRIMARY_RESOLUTION,1155,p1155-s000,q_authored,10,56,Focus should also be on Supreme Court promise.,MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1155|claims|10|56 1155|directives|10|56,claims@10..56[EXACT] directives@10..56[EXACT],directive,claim,,,,1155|claims|10|56 1155|directives|10|56,,R2_IMPERATIVE,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p1261-s002,MULTI_PRIMARY_RESOLUTION,1261,p1261-s002,q_authored,40,61,Expect more (outcry).,MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1261|predictions|40|61 1261|directives|40|61,predictions@40..61[EXACT] directives@40..61[EXACT],prediction,directive,,,,1261|predictions|40|61 1261|directives|40|61,,R5_FUTURE_FRAME,MEDIUM,false,predictions:-1 directives:-1,prediction:+1 primary · directive:+1 secondary
A-MP-p1295-s012,MULTI_PRIMARY_RESOLUTION,1295,p1295-s012,q_authored,474,536,The only profit we should all be striving for is TRUE FREEDOM.,MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1295|claims|474|536 1295|directives|474|536,claims@474..536[EXACT] directives@474..536[EXACT],directive,claim,,,,1295|claims|474|536 1295|directives|474|536,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p1297-s006,MULTI_PRIMARY_RESOLUTION,1297,p1297-s006,q_authored,200,302,"They fight unconditionally because they hold a core value, a value that we should all live in FREEDOM.",MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1297|claims|200|302 1297|directives|200|302,claims@200..302[EXACT] directives@200..302[EXACT],directive,claim,,,,1297|claims|200|302 1297|directives|200|302,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p1297-s008,MULTI_PRIMARY_RESOLUTION,1297,p1297-s008,q_authored,318,352,We must do better to protect them.,MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1297|claims|318|352 1297|directives|318|352,claims@318..352[EXACT] directives@318..352[EXACT],directive,claim,,,,1297|claims|318|352 1297|directives|318|352,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p1358-s000,MULTI_PRIMARY_RESOLUTION,1358,p1358-s000,q_authored,0,21,Trust must be earned.,MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1358|claims|0|21 1358|directives|0|21,claims@0..21[EXACT] directives@0..21[EXACT],directive,claim,,,,1358|claims|0|21 1358|directives|0|21,,R2_IMPERATIVE,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p1425-s000,MULTI_PRIMARY_RESOLUTION,1425,p1425-s000,q_authored,10,184,"Given we have now undeniably [on purpose] verified ourselves to be an inside source, expect the MSM [Clown Army] to attack in full cooperation w/ foreign and domestic assets.",MULTI_PRIMARY_117 MULTI_PRIMARY_EXACT_89,1425|predictions|10|184 1425|directives|10|184,predictions@10..184[EXACT] directives@10..184[EXACT],prediction,directive,,,,1425|predictions|10|184 1425|directives|10|184,,R6_SOLE_CATEGORY,LOW,true,predictions:-1 directives:-1,prediction:+1 primary · directive:+1 secondary
A-MP-p1432-s002,MULTI_PRIMARY_RESOLUTION,1432,p1432-s002,q_authored,147,347,"For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.",MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1432|claims|151|346 1432|directives|147|347,claims@151..346[PARTIAL] directives@147..347[EXACT],directive,claim,,1432|claims|151|346,partial span superseded by the complete sentence,1432|claims|151|346 1432|directives|147|347,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
A-MP-p1445-s006,MULTI_PRIMARY_RESOLUTION,1445,p1445-s006,q_authored,141,167,Trace sale/spin off of Co.,MULTI_PRIMARY_117 CONTAINED_PARTIAL_28,1445|claims|141|166 1445|directives|141|167,claims@141..166[PARTIAL] directives@141..167[EXACT],directive,claim,,1445|claims|141|166,partial span superseded by the complete sentence,1445|claims|141|166 1445|directives|141|167,,R2B_IMPERATIVE_CERTIFIED,MEDIUM,false,claims:-1 directives:-1,directive:+1 primary · claim:+1 secondary
