sentenceId,postNum,kind,layer,nested,deliberate,a,b
p1010-s008,1010,claims,primary,true,false,GUN CONTROL.,CONTROL.
p0120-s021,120,questions,primary,true,false,Why is the NSA limited re: ability to capture and unmask US persons?,US persons?
p1316-s014,1316,claims,primary,true,false,3 official behind Deputy AG Rosenstein - FIRED/FORCE,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput"
p1553-s000,1553,claims,primary,true,false,Attorney General Jeff Sessions has also said U.S. Attorney John Huber ,“Attorney General Jeff Sessions has also said U.S. Attorney John Huber
p1745-s008,1745,claims,primary,true,false,'DIRTY' 'FAKE' DOSSIER WAS USED AS PRIMARY SOURCE TO SECURE HIGHEST LE,DECLAS BY POTUS KEY PARTS THAT FACTUALLY DEMONSTRATE THE 'DIRTY' 'FAKE
p1824-s004,1824,claims,primary,false,false,Market) is ESSENTIAL for every major country in the world.,ACCESS to the AMERICAN CONSUMER (U.S. Market) is ESSENTIAL for every m
p1929-s013,1929,questions,primary,true,false,Who is [1 of 4] FIREWALLS?,FIREWALLS?
p1991-s002,1991,claims,primary,true,false,"""Ms. Ugoretz oversaw intelligence products and briefings for the FBI D",Ugoretz oversaw intelligence products and briefings for the FBI Direct
p2070-s024,2070,claims,primary,true,false,3 official behind Deputy AG Rosenstein - FIRED/FORCED,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput"
p2072-s014,2072,questions,primary,true,false,HUBER start?,Coincidence vs. HUBER start?
p2094-s004,2094,claims,primary,true,false,Criminal Law.,Military Law v. Criminal Law.
p2211-s013,2211,claims,primary,true,false,"“Prior to joining NSA, Mr. Storch served in several positions at the D","Prior to joining NSA, Mr. Storch served in several positions at the De"
p2211-s016,2211,claims,primary,true,false,"“Earlier in his career, Mr. Storch also worked as a federal prosecutor",Storch also worked as a federal prosecutor in the Northern District of
p2211-s042,2211,questions,primary,true,false,HUBER start?,Coincidence vs. HUBER start?
p2305-s005,2305,questions,primary,true,false,Graham activated?,Coincidence Sen. Graham activated?
p2306-s008,2306,claims,primary,false,false,Ford's family has strong ties to SWAMP.,Dr. Ford's family has strong ties to SWAMP
p2306-s006,2306,claims,primary,false,false,Something did happen to Dr. Ford in her past,Ford in her past.
p2359-s001,2359,questions,primary,true,false,Justice K?,"""Wrap-Up Smear"" deployed v. Justice K?"
p2360-s002,2360,questions,primary,true,false,Justice K?,"""Wrap-Up Smear"" deployed v. Justice K?"
p2360-s003,2360,questions,primary,true,false,POTUS?,"""Wrap-Up Smear"" deployed v. POTUS?"
p2381-s021,2381,claims,primary,true,false,3 official behind Deputy AG Rosenstein - FIRED/FORCED,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput"
p2381-s021,2381,claims,primary,true,false,"Rachel Brand, Associate Attorney General – No. 3 official behind Deput",No.
p2552-s001,2552,claims,primary,true,false,"""After Mr. Priestap’s departure, none of the high-ranking bureau offic","Priestap’s departure, none of the high-ranking bureau officials involv"
p2653-s004,2653,claims,primary,true,false,"Code, published in 1977 by the U.S.","Ref: 230-page book called Sex Bias in the U.S. Code, published in 1977"
p2662-s002,2662,claims,primary,false,false,That can only happen through a federal grand jury investigation headed,Attorney in Utah who has been appointed to investigate the FISA crimin
p3130-s001,3130,claims,primary,true,false,"""It is with tremendous sadness we share that Professor Alan B. Krueger","Krueger, beloved husband, father, son, brother, and Princeton professo"
p3256-s001,3256,questions,primary,true,false,LifeLog?,USA v. LifeLog?
p3396-s001,3396,questions,primary,true,false,Did the FBI/DOJ interview RC?,RC?
p3586-s010,3586,questions,primary,true,false,POTUS?,Whistleblower(s) vs. POTUS?
p3785-s000,3785,questions,primary,true,false,"""What storm, Mr. President?""","President?"""
p4310-s015,4310,claims,primary,false,false,"The recommendation, delivered to the White House last month, was made ","Clapper Jr., according to several U.S. officials familiar with the mat"
p4310-s015,4310,claims,primary,false,false,"The recommendation, delivered to the White House last month, was made ","Rogers, be removed.The recommendation, delivered to the White House la"
p4398-s002,4398,claims,primary,true,false,"POTUS cleared peaceful protestors using tear gas, rubber bullets","MSDNC: POTUS cleared peaceful protestors using tear gas, rubber bullet"
p4477-s002,4477,questions,primary,true,false,can we prove it?,Q: can we prove it?
p4477-s003,4477,questions,primary,true,false,can we prove coordination?,Q: can we prove coordination?
p4477-s004,4477,questions,primary,true,false,can we prove deliberate action to inc death count to justify vote-by-m,Q: can we prove deliberate action to inc death count to justify vote-b
