post_number,confidence,full_source_sentence,current_category,proposed_category,rejection_reason,source_type,recovered_canonical_sentence
"28","GREEN","In churches, on campuses, in classrooms, in public meetings, they took notes, tape-recorded, and photographed people who dissented in thought, word, or deed.","Church / clergy / worship","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"51","GREEN","I will be praying for OPanon and all who risk their lives, for safety and that the Lord will guide them, and praying that what he says is true, and will be praying for the spiritual edification of God for Trump and for his complete safety in all of this.","Prayer / blessing / invocation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"54","GREEN","For I know the plans I have for you, declares the LORD, plans to prosper you and not to harm you, plans to give you hope and a future.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted Bible/Scripture passage reproduced in Q post",""
"58","GREEN","The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.","Islam / Judaism / named religion","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"58","GREEN","Her mother, Saleha Abedin, sits on the Presidency Staff Council of the International Islamic Council for Da’wa and Relief, a group that is chaired by the leader of the Muslim Brotherhood, Sheikh Yusuf al-Qaradawi.","Islam / Judaism / named religion","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"58","GREEN","Perhaps recognizing how offensive such ties will be to voters concerned over future terrorist attacks on this country by radical Muslims professing allegiance to Sharia law, the Clinton campaign on Monday tried to downplay Ms. Abedin’s involvement in the Journal and the Muslim Brotherhood.","Islam / Judaism / named religion","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"58","GREEN","The Clinton surrogate group Media Matters claimed predictably there was “no evidence” that Ms. Abedin or her family had ties to the Muslim Brotherhood, and that Trump campaign staffers who spoke of these ties were conspiracy theorists.","Islam / Judaism / named religion","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"103","GREEN","For a God and Country.","God / Lord / Jesus / Christ","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"109","GREEN","St. Michael the Archangel, defend us in battle.","Prayer","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced prayer shown inside Q drop",""
"109","GREEN","Be our protection against the wickedness and snares of the devil.","Prayer","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced prayer shown inside Q drop",""
"109","GREEN","May God rebuke him, we humbly pray.","Prayer","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced prayer shown inside Q drop",""
"109","GREEN","And do thou, Prince of the Heavenly Hosts, by the power of God, cast down to Hell Satan and all his evil spirits, who prowl about the world seeking the ruin of souls.","Prayer","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced prayer shown inside Q drop",""
"109","GREEN","Amen.","Prayer","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced prayer shown inside Q drop",""
