Two layers,Spans,What it is,Why you are seeing it
claim + theme,593,2 certified layers on the same characters,"THIS IS THE ONE YOU ARE SEEING. A Claim is amber and a Theme is INDIGO, and the span rotates between them. Indigo (#6366F1) sits one hue from the violet Predictions use (#8B5CF6) - so a Claim rotating with a Theme looks exactly like a Claim over a Prediction."
request + theme,418,2 certified layers on the same characters,A Directive (green) rotating with a Theme (indigo).
question + theme,376,2 certified layers on the same characters,A Question (blue) rotating with a Theme (indigo).
question + request,196,2 certified layers on the same characters,"A line that is both a Question and a Directive - ""Define ‘evidence’."" The archive counts 228 of these on purpose; they are the documented overlap."
prediction + theme,61,2 certified layers on the same characters,A Prediction (violet) rotating with a Theme (indigo) - the two closest colours in the palette.
question + request + theme,15,3 certified layers on the same characters,Two certified layers on one span; the renderer rotates between their colours.
prediction + request,5,2 certified layers on the same characters,Two certified layers on one span; the renderer rotates between their colours.
claim + request,4,2 certified layers on the same characters,Two certified layers on one span; the renderer rotates between their colours.
claim + question,4,2 certified layers on the same characters,Two certified layers on one span; the renderer rotates between their colours.
claim + prediction,3,2 certified layers on the same characters,GENUINELY a Claim over a Prediction. There are only three in the whole archive.
claim + question + request,1,3 certified layers on the same characters,Two certified layers on one span; the renderer rotates between their colours.
,,,
TOTAL,1676,across 1058 drops,"Entities and brackets are NOT in this list - they now render solid, in front."
,,,
Post,The two layers,The text they share,
1,claim + theme,extradition,
1,prediction + theme,riots,
10,claim + theme,These people worship ,
10,claim + theme, _ some openly show it.,
1008,question + request,Define 'witness'.,
1008,claim + theme,MSM,
1008,question + theme,investigation into,
1008,question + theme,investigation into,
1008,question + theme,investigation into,
1010,claim + theme,VACCINES,
1012,claim + theme,pray for,
102,request + theme,Godspeed.,
1021,question + request + theme,List the estimated wealth of religious organizations.,
1025,request + theme,WWG1WGA,
1025,request + theme, bless,
1027,request + theme,Pray.,
1029,request + theme,Thank you for your prayers.,
103,request + theme,Godspeed.,
1030,request + theme,Pray.,
104,request + theme, bless,
1044,claim + theme,MSM,
1048,request + theme,Connect via past religious leaders (re: ,
1048,request + theme,).,
105,request + theme,Please pray.,
106,request + theme, bless,
1068,request + theme,Pray.,
107,request + theme,May ,
107,request + theme, also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst,
1070,claim + theme,anon,
1074,claim + theme,Fake News,
1075,claim + theme,MSM,
108,claim + theme,Anon,
1085,question + theme,MSM,
109,claim + theme,Amen,
1093,request + theme, bless,
1100,question + theme,Who is arranging the PRIVATE meetings?,
1100,claim + theme,censorship,
1102,claim + theme,CENSORING,
1104,claim + theme,algorithm,
1120,question + request,Clarify.,
1129,claim + theme,administration,
114,request + theme, save ,
114,request + theme, all.,
117,question + request,Define.,
117,question + theme,What church did ,
117,question + theme, attend as pre-,
117,question + theme,?,
117,question + theme,FOIA,
117,question + theme,money laundering,
1176,claim + theme,Good vs Evil,
1179,question + theme,MSM,
118,question + theme,human trafficking,
118,question + theme,money laundering,
118,question + theme,MSM,
1183,claim + theme,WWG1WGA,
119,question + request,List the Billionaires.,
119,question + theme,slush fund,
