sentenceId,postNum,reviewKind,primaryKind,start,end,text,proposedReviewDisposition
p1077-s004,1077,context,directives,56,77,Prevent at all costs.,contextual
p1100-s016,1100,context,directives,379,395,Drain the swamp.,contextual
p0111-s013,111,context,directives,381,388,Repeat.,contextual
p0112-s008,112,context,directives,362,369,Repeat.,contextual
p0112-s015,112,context,directives,602,634,Summarize and paint the picture.,contextual
p1124-s002,1124,context,directives,14,32,Testify then drop.,contextual
p0116-s002,116,context,directives,47,65,Upload to graphic.,contextual
p0118-s004,118,context,directives,147,154,Repeat.,contextual
p1226-s009,1226,context,predictions,118,156,DNC to initiate lawsuit (pre-planned).,contextual
p1248-s003,1248,context,directives,36,42,Fight!,contextual
p1275-s004,1275,context,directives,151,165,No redactions.,contextual
p0128-s041,128,context,directives,1151,1165,Be [p]repared.,contextual
p1291-s009,1291,context,directives,273,283,Step back.,contextual
p1318-s060,1318,context,directives,2319,2336,No outside comms.,contextual
p1336-s020,1336,context,predictions,559,580,Future to prove past.,contextual
p1341-s000,1341,context,directives,10,26,Time to move on.,contextual
p1380-s007,1380,context,directives,132,138,Focus.,contextual
p1468-s003,1468,context,predictions,68,81,More to come.,contextual
p1496-s009,1496,context,predictions,238,260,[#3 released tomorrow],contextual
p0153-s022,153,context,directives,1519,1525,Laugh.,contextual
p1557-s001,1557,context,directives,33,50,Let’s start here.,contextual
p0157-s026,157,context,directives,853,870,Rinse and repeat.,contextual
p1575-s000,1575,context,directives,0,13,Abandon ship!,contextual
p1645-s000,1645,context,directives,0,10,Play LOUD.,contextual
p1792-s003,1792,context,directives,156,165,Fear not.,contextual
p1817-s002,1817,context,directives,46,60,Say something.,contextual
p1863-s004,1863,context,directives,72,78,FIGHT!,contextual
p1899-s001,1899,context,directives,43,58,Travel to Rome.,contextual
p1902-s003,1902,context,directives,66,81,Travel to Rome.,contextual
p1916-s003,1916,context,directives,134,148,Say something.,contextual
p1953-s003,1953,context,directives,72,88,Know your enemy.,contextual
p2038-s002,2038,context,directives,69,75,FIGHT!,contextual
p2039-s003,2039,context,directives,69,96,"LET FREEDOM RING, PATRIOTS.",contextual
p2206-s012,2206,context,directives,560,566,FIGHT!,contextual
p2239-s002,2239,context,directives,57,70,Say something,contextual
p0225-s004,225,context,predictions,119,155,When this breaks many won’t swallow.,contextual
p0242-s000,242,context,directives,0,17,Be here tomorrow.,contextual
p2429-s001,2429,context,predictions,60,74,DECLAS coming.,contextual
p2474-s002,2474,context,directives,41,47,FIGHT!,contextual
p2499-s006,2499,context,directives,294,308,Say something.,contextual
p2540-s003,2540,context,directives,106,133,Please allow us to counter.,contextual
p2554-s006,2554,context,directives,231,245,Say something.,contextual
p2604-s021,2604,context,directives,824,850,Be in control of yourself.,contextual
p2677-s001,2677,context,directives,25,54,It's time to return publicly.,contextual
p2710-s001,2710,context,directives,12,48,Register all data pulls to location.,contextual
p2726-s000,2726,context,directives,0,22,Be alert next 10 days.,contextual
p2777-s000,2777,context,directives,10,36,Disregard any misspelling.,contextual
p2877-s000,2877,context,directives,10,46,Disregard all spelling/other errors.,contextual
p2967-s001,2967,context,directives,22,43,Switch private_reg_C.,contextual
p3003-s001,3003,context,predictions,78,101,[Parts 3-9 coming soon],contextual
p3040-s005,3040,context,directives,178,195,Let Freedom Ring!,contextual
p3072-s000,3072,context,directives,10,35,Disregard spelling error.,contextual
p3077-s003,3077,context,directives,58,72,Say Something.,contextual
p0310-s004,310,context,directives,140,172,Re-listen to yesterday's speech.,contextual
p3111-s003,3111,context,directives,188,207,Let's Keep Playing…,contextual
